# power spectrum of hij
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.034910e-19   0.000000e+00   1.086179e-19   6
  2.776802e-02   1.970359e-19   0.000000e+00   1.756031e-20   12
  3.400874e-02   9.455854e-20   3.725290e-10   8.363799e-21   8
  3.926991e-02   7.598007e-20   0.000000e+00   8.850408e-21   6
  4.390509e-02   6.271353e-20   0.000000e+00   6.000266e-21   24
  4.809562e-02   2.849918e-20   7.024475e-10   4.971142e-21   24
  5.553604e-02   2.742183e-20   0.000000e+00   2.875895e-21   12
  5.890486e-02   1.104770e-20   7.947286e-10   9.186003e-22   30
  6.209118e-02   1.175625e-20   0.000000e+00   1.767023e-21   24
  6.512178e-02   1.346187e-20   1.216675e-09   1.913987e-21   24
  6.801748e-02   7.466868e-21   7.450581e-10   1.537563e-21   8
  7.079483e-02   6.897225e-21   9.934107e-10   8.834278e-22   24
  7.346727e-02   6.214018e-21   0.000000e+00   6.102197e-22   48
  7.853982e-02   5.978847e-21   0.000000e+00   7.532567e-22   6
  8.095699e-02   3.503926e-21   1.404895e-09   3.800130e-22   48
  8.330406e-02   3.863647e-21   0.000000e+00   3.821718e-22   36
  8.558678e-02   2.850875e-21   9.934107e-10   5.206113e-22   24
  8.781018e-02   3.104052e-21   0.000000e+00   4.834085e-22   24
  8.997866e-02   2.220981e-21   0.000000e+00   2.245531e-22   48
  9.209610e-02   2.656460e-21   1.404895e-09   3.205981e-22   24
  9.619124e-02   1.605202e-21   1.404895e-09   2.266791e-22   24
  9.817477e-02   2.030221e-21   0.000000e+00   3.480304e-22   30
  1.001190e-01   1.238253e-21   0.000000e+00   9.638630e-23   72
  1.020262e-01   1.136880e-21   1.490116e-09   1.154147e-22   32
  1.057375e-01   1.173787e-21   0.000000e+00   9.882499e-23   72
  1.075451e-01   9.433581e-22   0.000000e+00   9.034212e-23   48
  1.110721e-01   8.756781e-22   0.000000e+00   2.211938e-22   12
  1.127942e-01   6.516351e-22   0.000000e+00   4.683682e-23   48
  1.144905e-01   7.568407e-22   0.000000e+00   5.992374e-23   48
  1.161620e-01   6.290017e-22   1.404895e-09   6.406796e-23   48
  1.178097e-01   6.307148e-22   1.589457e-09   8.628014e-23   30
  1.194348e-01   5.479141e-22   1.404895e-09   5.105467e-23   24
  1.210380e-01   5.388663e-22   2.961779e-09   3.668885e-23   72
  1.241824e-01   4.379615e-22   0.000000e+00   6.039678e-23   24
  1.257251e-01   3.843572e-22   0.000000e+00   2.344756e-23   96
  1.272490e-01   4.245716e-22   0.000000e+00   3.379845e-23   48
  1.287550e-01   3.409960e-22   2.433349e-09   3.633104e-23   24
  1.302436e-01   3.927815e-22   2.433349e-09   5.366340e-23   24
  1.317153e-01   3.158403e-22   0.000000e+00   2.024085e-23   72
  1.331707e-01   3.747294e-22   0.000000e+00   2.709643e-23   48
  1.360350e-01   2.087258e-22   1.490116e-09   1.539172e-23   8
  1.374447e-01   2.321721e-22   1.766064e-09   2.763479e-23   54
  1.388401e-01   1.918250e-22   0.000000e+00   1.568460e-23   84
  1.402216e-01   1.901546e-22   0.000000e+00   1.984029e-23   48
  1.415897e-01   2.469898e-22   1.986821e-09   2.707605e-23   24
  1.429446e-01   2.114316e-22   1.873193e-09   2.537778e-23   72
  1.442869e-01   1.957852e-22   0.000000e+00   2.082194e-23   96
  1.469345e-01   1.493483e-22   0.000000e+00   1.142659e-23   48
  1.482407e-01   1.678941e-22   0.000000e+00   1.719374e-23   48
  1.495354e-01   1.463916e-22   1.986821e-09   1.690242e-23   24
  1.508189e-01   1.424209e-22   0.000000e+00   9.899715e-24   72
  1.533539e-01   1.234725e-22   1.873193e-09   1.021362e-23   72
  1.546058e-01   1.157568e-22   0.000000e+00   7.778216e-24   96
  1.570796e-01   1.554663e-22   0.000000e+00   5.624776e-23   6
  1.583021e-01   1.245756e-22   0.000000e+00   9.434475e-24   96
  1.595151e-01   1.258453e-22   1.986821e-09   8.926950e-24   96
  1.607190e-01   1.199171e-22   0.000000e+00   1.533487e-23   24
  1.619140e-01   1.274076e-22   2.809790e-09   1.459182e-23   48
  1.631002e-01   8.909799e-23   0.000000e+00   5.737822e-24   96
