# power spectrum of B
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.235082e-17   0.000000e+00   1.742932e-18   6
  2.776802e-02   1.108531e-17   0.000000e+00   1.502647e-18   12
  3.400874e-02   6.947899e-18   3.725290e-10   2.691911e-18   8
  3.926991e-02   9.121590e-18   0.000000e+00   1.951451e-18   6
  4.390509e-02   2.797794e-17   0.000000e+00   3.078349e-18   24
  4.809562e-02   1.817323e-17   7.024475e-10   2.340227e-18   24
  5.553604e-02   6.149884e-18   0.000000e+00   8.814540e-19   12
  5.890486e-02   9.002380e-18   7.947286e-10   1.387255e-18   30
  6.209118e-02   1.834917e-17   0.000000e+00   2.287297e-18   24
  6.512178e-02   1.902598e-17   1.216675e-09   3.872953e-18   24
  6.801748e-02   7.526842e-18   7.450581e-10   1.796310e-18   8
  7.079483e-02   7.392272e-18   9.934107e-10   8.381334e-19   24
  7.346727e-02   1.344901e-17   0.000000e+00   1.081409e-18   48
  7.853982e-02   6.192687e-18   0.000000e+00   4.296817e-19   6
  8.095699e-02   1.073331e-17   1.404895e-09   1.021527e-18   48
  8.330406e-02   1.843218e-17   0.000000e+00   3.311704e-18   36
  8.558678e-02   4.931276e-18   9.934107e-10   8.863812e-19   24
  8.781018e-02   1.772001e-17   0.000000e+00   2.695049e-18   24
  8.997866e-02   1.232590e-17   0.000000e+00   1.130041e-18   48
  9.209610e-02   4.071691e-18   1.404895e-09   3.607974e-19   24
  9.619124e-02   1.244980e-17   1.404895e-09   1.701844e-18   24
  9.817477e-02   6.503943e-18   0.000000e+00   8.054644e-19   30
  1.001190e-01   8.887326e-18   0.000000e+00   9.628259e-19   72
  1.020262e-01   1.162289e-17   1.490116e-09   1.532256e-18   32
  1.057375e-01   9.241624e-18   0.000000e+00   8.622697e-19   72
  1.075451e-01   1.918563e-17   0.000000e+00   1.871753e-18   48
  1.110721e-01   1.321197e-18   0.000000e+00   2.347388e-19   12
  1.127942e-01   1.188321e-17   0.000000e+00   1.581051e-18   48
  1.144905e-01   7.824791e-18   0.000000e+00   9.743868e-19   48
  1.161620e-01   7.562326e-18   1.404895e-09   6.480913e-19   48
  1.178097e-01   3.407208e-18   1.589457e-09   4.429809e-19   30
  1.194348e-01   7.650704e-18   1.404895e-09   7.230023e-19   24
  1.210380e-01   1.122874e-17   2.961779e-09   8.357788e-19   72
  1.241824e-01   1.041093e-17   0.000000e+00   2.249446e-18   24
  1.257251e-01   1.305349e-17   0.000000e+00   1.293314e-18   96
  1.272490e-01   3.986486e-18   0.000000e+00   4.972849e-19   48
  1.287550e-01   5.464993e-18   2.433349e-09   1.026679e-18   24
  1.302436e-01   2.489988e-17   2.433349e-09   3.733678e-18   24
  1.317153e-01   8.850610e-18   0.000000e+00   1.139744e-18   72
  1.331707e-01   1.466901e-17   0.000000e+00   1.658318e-18   48
  1.360350e-01   1.940130e-18   1.490116e-09   1.930343e-19   8
  1.374447e-01   1.056917e-17   1.766064e-09   9.987171e-19   54
  1.388401e-01   3.602344e-18   0.000000e+00   3.087947e-19   84
  1.402216e-01   5.394648e-18   0.000000e+00   5.476638e-19   48
  1.415897e-01   8.703720e-18   1.986821e-09   1.537441e-18   24
  1.429446e-01   8.561117e-18   1.873193e-09   7.384919e-19   72
  1.442869e-01   9.903981e-18   0.000000e+00   8.580423e-19   96
  1.469345e-01   8.219187e-18   0.000000e+00   8.667732e-19   48
  1.482407e-01   1.044547e-17   0.000000e+00   1.728727e-18   48
  1.495354e-01   1.543213e-17   1.986821e-09   2.413891e-18   24
  1.508189e-01   1.057213e-17   0.000000e+00   1.560297e-18   72
  1.533539e-01   4.375536e-18   1.873193e-09   3.240448e-19   72
  1.546058e-01   6.023547e-18   0.000000e+00   6.144486e-19   96
  1.570796e-01   2.034572e-18   0.000000e+00   3.702511e-19   6
  1.583021e-01   4.137544e-18   0.000000e+00   3.659677e-19   96
  1.595151e-01   5.719205e-18   1.986821e-09   4.871056e-19   96
  1.607190e-01   8.817869e-18   0.000000e+00   7.140279e-19   24
  1.619140e-01   6.099358e-18   2.809790e-09   6.931148e-19   48
  1.631002e-01   6.659641e-18   0.000000e+00   4.798550e-19   96
  1.642778e-01   2.531904e-18   0.000000e+00   2.154729e-19   48
  1.666081e-01   7.900900e-18   0.000000e+00   1.625753e-18   36
  1.677611e-01   6.774902e-18   3.441276e-09   1.040671e-18   48
  1.689063e-01   7.859794e-18   3.893359e-09   6.003384e-19   120
  1.700437e-01   4.140524e-18   0.000000e+00   4.090399e-19   56
  1.711736e-01   1.971520e-18   1.986821e-09   3.381560e-19   24
  1.722960e-01   6.747761e-18   0.000000e+00   8.010268e-19   96
  1.734112e-01   4.470148e-18   0.000000e+00   5.639581e-19   48
  1.756204e-01   8.431910e-18   0.000000e+00   1.291095e-18   24
