# power spectrum of B
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.377934e-16   0.000000e+00   1.764957e-17   6
  2.776802e-02   1.248551e-16   0.000000e+00   1.633931e-17   12
  3.400874e-02   8.733388e-17   3.725290e-10   3.344512e-17   8
  3.926991e-02   1.002103e-16   0.000000e+00   2.070399e-17   6
  4.390509e-02   1.521200e-16   0.000000e+00   2.158712e-17   24
  4.809562e-02   7.890841e-17   7.024475e-10   8.205921e-18   24
  5.553604e-02   6.940180e-17   0.000000e+00   9.375393e-18   12
  5.890486e-02   9.195265e-17   7.947286e-10   1.580493e-17   30
  6.209118e-02   8.980836e-17   0.000000e+00   9.406143e-18   24
  6.512178e-02   1.345084e-16   1.216675e-09   2.092592e-17   24
  6.801748e-02   8.133574e-17   7.450581e-10   1.994052e-17   8
  7.079483e-02   5.393232e-17   9.934107e-10   7.073713e-18   24
  7.346727e-02   7.771685e-17   0.000000e+00   7.145019e-18   48
  7.853982e-02   6.566883e-17   0.000000e+00   3.385094e-18   6
  8.095699e-02   6.866820e-17   1.404895e-09   7.017808e-18   48
  8.330406e-02   7.748759e-17   0.000000e+00   6.297403e-18   36
  8.558678e-02   3.459795e-17   9.934107e-10   5.276040e-18   24
  8.781018e-02   5.799344e-17   0.000000e+00   9.059530e-18   24
  8.997866e-02   4.662063e-17   0.000000e+00   3.821514e-18   48
  9.209610e-02   3.497967e-17   1.404895e-09   3.841390e-18   24
  9.619124e-02   3.265844e-17   1.404895e-09   5.050676e-18   24
  9.817477e-02   4.098311e-17   0.000000e+00   4.382929e-18   30
  1.001190e-01   4.329663e-17   0.000000e+00   3.598020e-18   72
  1.020262e-01   6.466487e-17   1.490116e-09   8.426103e-18   32
  1.057375e-01   4.193589e-17   0.000000e+00   3.294654e-18   72
  1.075451e-01   3.844313e-17   0.000000e+00   4.225920e-18   48
  1.110721e-01   1.137099e-17   0.000000e+00   1.605600e-18   12
  1.127942e-01   2.954724e-17   0.000000e+00   2.435804e-18   48
  1.144905e-01   2.528590e-17   0.000000e+00   2.645767e-18   48
  1.161620e-01   2.274717e-17   1.404895e-09   2.179826e-18   48
  1.178097e-01   2.532630e-17   1.589457e-09   2.592937e-18   30
  1.194348e-01   3.319576e-17   1.404895e-09   6.407796e-18   24
  1.210380e-01   2.749621e-17   2.961779e-09   2.362014e-18   72
  1.241824e-01   4.112939e-17   0.000000e+00   6.295866e-18   24
  1.257251e-01   2.764148e-17   0.000000e+00   1.859387e-18   96
  1.272490e-01   2.089256e-17   0.000000e+00   1.946846e-18   48
  1.287550e-01   2.192293e-17   2.433349e-09   1.513282e-18   24
  1.302436e-01   2.812719e-17   2.433349e-09   4.173804e-18   24
  1.317153e-01   2.315973e-17   0.000000e+00   2.357296e-18   72
  1.331707e-01   2.309274e-17   0.000000e+00   2.288403e-18   48
  1.360350e-01   1.495693e-17   1.490116e-09   8.809331e-19   8
  1.374447e-01   1.840479e-17   1.766064e-09   2.543559e-18   54
  1.388401e-01   1.697707e-17   0.000000e+00   1.510268e-18   84
  1.402216e-01   1.827439e-17   0.000000e+00   1.411608e-18   48
  1.415897e-01   2.633375e-17   1.986821e-09   2.615683e-18   24
  1.429446e-01   2.007959e-17   1.873193e-09   1.357063e-18   72
  1.442869e-01   1.719780e-17   0.000000e+00   1.332131e-18   96
  1.469345e-01   8.563945e-18   0.000000e+00   8.392563e-19   48
  1.482407e-01   1.491693e-17   0.000000e+00   1.489630e-18   48
  1.495354e-01   1.690397e-17   1.986821e-09   2.161411e-18   24
  1.508189e-01   1.524674e-17   0.000000e+00   1.169874e-18   72
  1.533539e-01   1.096337e-17   1.873193e-09   9.823584e-19   72
  1.546058e-01   1.224463e-17   0.000000e+00   8.993648e-19   96
  1.570796e-01   1.781720e-17   0.000000e+00   3.227668e-18   6
  1.583021e-01   1.356230e-17   0.000000e+00   1.059013e-18   96
  1.595151e-01   1.050813e-17   1.986821e-09   8.323796e-19   96
