# power spectrum of phi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.459433e-10   0.000000e+00   5.332382e-11   6
  2.776802e-02   2.134588e-10   0.000000e+00   4.701829e-11   12
  3.400874e-02   1.077346e-10   3.725290e-10   3.046894e-11   8
  3.926991e-02   9.602943e-11   0.000000e+00   2.755399e-11   6
  4.390509e-02   6.852244e-11   0.000000e+00   9.007055e-12   24
  4.809562e-02   5.990698e-11   7.024475e-10   1.176661e-11   24
  5.553604e-02   1.480467e-11   0.000000e+00   3.648862e-12   12
  5.890486e-02   4.301806e-11   7.947286e-10   5.596553e-12   30
  6.209118e-02   2.725382e-11   0.000000e+00   4.868972e-12   24
  6.512178e-02   3.017457e-11   1.216675e-09   6.286754e-12   24
  6.801748e-02   5.297390e-11   7.450581e-10   1.962262e-11   8
  7.079483e-02   2.015698e-11   9.934107e-10   3.904531e-12   24
  7.346727e-02   2.015204e-11   0.000000e+00   2.377095e-12   48
  7.853982e-02   1.559170e-11   0.000000e+00   1.677052e-12   6
  8.095699e-02   2.341228e-11   1.404895e-09   2.718293e-12   48
  8.330406e-02   2.199269e-11   0.000000e+00   3.282165e-12   36
  8.558678e-02   9.904811e-12   9.934107e-10   2.326277e-12   24
  8.781018e-02   1.444168e-11   0.000000e+00   2.053762e-12   24
  8.997866e-02   1.215889e-11   0.000000e+00   1.523057e-12   48
  9.209610e-02   1.887340e-11   1.404895e-09   3.547690e-12   24
  9.619124e-02   1.100385e-11   1.404895e-09   2.247993e-12   24
  9.817477e-02   1.301927e-11   0.000000e+00   2.281859e-12   30
  1.001190e-01   1.279995e-11   0.000000e+00   1.271005e-12   72
  1.020262e-01   1.321883e-11   1.490116e-09   1.911773e-12   32
  1.057375e-01   7.979160e-12   0.000000e+00   1.294256e-12   72
  1.075451e-01   9.222719e-12   0.000000e+00   1.133571e-12   48
  1.110721e-01   3.521876e-12   0.000000e+00   7.326375e-13   12
  1.127942e-01   9.011400e-12   0.000000e+00   1.201630e-12   48
  1.144905e-01   7.984139e-12   0.000000e+00   1.159384e-12   48
  1.161620e-01   5.547929e-12   1.404895e-09   8.141784e-13   48
  1.178097e-01   5.794402e-12   1.589457e-09   8.078645e-13   30
  1.194348e-01   8.137343e-12   1.404895e-09   1.279801e-12   24
  1.210380e-01   6.551616e-12   2.961779e-09   6.538616e-13   72
  1.241824e-01   6.131980e-12   0.000000e+00   2.202399e-12   24
  1.257251e-01   8.031369e-12   0.000000e+00   7.563231e-13   96
  1.272490e-01   3.693698e-12   0.000000e+00   6.768422e-13   48
  1.287550e-01   4.543539e-12   2.433349e-09   7.716068e-13   24
  1.302436e-01   1.027493e-11   2.433349e-09   1.981593e-12   24
  1.317153e-01   5.478479e-12   0.000000e+00   7.475843e-13   72
  1.331707e-01   6.425778e-12   0.000000e+00   9.030499e-13   48
  1.360350e-01   6.409990e-12   1.490116e-09   1.831317e-12   8
  1.374447e-01   4.771366e-12   1.766064e-09   4.557535e-13   54
  1.388401e-01   4.541511e-12   0.000000e+00   5.118598e-13   84
  1.402216e-01   4.104755e-12   0.000000e+00   4.820044e-13   48
  1.415897e-01   3.872262e-12   1.986821e-09   1.104653e-12   24
  1.429446e-01   4.428739e-12   1.873193e-09   4.680903e-13   72
  1.442869e-01   4.403254e-12   0.000000e+00   3.961584e-13   96
  1.469345e-01   3.825435e-12   0.000000e+00   4.239053e-13   48
  1.482407e-01   3.826814e-12   0.000000e+00   4.862921e-13   48
  1.495354e-01   4.681623e-12   1.986821e-09   1.136589e-12   24
  1.508189e-01   3.079201e-12   0.000000e+00   4.139688e-13   72
  1.533539e-01   2.968519e-12   1.873193e-09   4.106317e-13   72
  1.546058e-01   2.285560e-12   0.000000e+00   2.200876e-13   96
  1.570796e-01   1.010406e-12   0.000000e+00   5.522476e-13   6
  1.583021e-01   2.467946e-12   0.000000e+00   2.976273e-13   96
  1.595151e-01   2.819269e-12   1.986821e-09   2.258525e-13   96
  1.607190e-01   1.952673e-12   0.000000e+00   1.644686e-13   24
  1.619140e-01   2.534273e-12   2.809790e-09   3.317584e-13   48
  1.631002e-01   2.233567e-12   0.000000e+00   2.127289e-13   96
  1.642778e-01   1.653253e-12   0.000000e+00   1.860246e-13   48
  1.666081e-01   2.402740e-12   0.000000e+00   4.883695e-13   36
  1.677611e-01   1.955913e-12   3.441276e-09   3.559788e-13   48
  1.689063e-01   2.189872e-12   3.893359e-09   1.817176e-13   120
  1.700437e-01   1.796802e-12   0.000000e+00   2.260672e-13   56
  1.711736e-01   1.151365e-12   1.986821e-09   2.534283e-13   24
  1.722960e-01   1.770765e-12   0.000000e+00   1.899229e-13   96
  1.734112e-01   1.812068e-12   0.000000e+00   2.515357e-13   48
  1.756204e-01   1.863138e-12   0.000000e+00   3.747220e-13   24
  1.767146e-01   2.217538e-12   0.000000e+00   1.828552e-13   102
  1.778021e-01   3.644017e-12   0.000000e+00   5.693533e-13   48
  1.788829e-01   3.484167e-12   0.000000e+00   4.275900e-13   72
  1.799573e-01   1.845782e-12   0.000000e+00   2.895210e-13   48
  1.810253e-01   2.768705e-12   0.000000e+00   4.913272e-13   48
  1.820871e-01   2.100691e-12   4.495664e-09   2.085669e-13   120
  1.841922e-01   8.200190e-13   2.809790e-09   1.593595e-13   24
  1.852358e-01   1.715199e-12   2.649095e-09   1.283092e-13   144
  1.862735e-01   1.853465e-12   3.178914e-09   1.860100e-13   120
  1.873055e-01   2.360926e-12   2.809790e-09   2.828671e-13   48
  1.893526e-01   1.505386e-12   2.809790e-09   2.282210e-13   48
  1.903679e-01   1.741400e-12   2.809790e-09   1.943837e-13   96
  1.923825e-01   1.113926e-12   2.809790e-09   1.731289e-13   24
  1.933819e-01   1.314349e-12   0.000000e+00   2.527094e-13   48
  1.943761e-01   1.547718e-12   3.532127e-09   1.780716e-13   108
  1.953653e-01   1.094716e-12   0.000000e+00   1.004991e-13   72
  1.963495e-01   1.862643e-12   0.000000e+00   3.767271e-13   30
  1.973288e-01   1.375264e-12   0.000000e+00   1.112327e-13   168
  1.983033e-01   1.881590e-12   0.000000e+00   3.332771e-13   48
  2.002380e-01   1.328611e-12   0.000000e+00   1.414683e-13   72
  2.011984e-01   1.995094e-12   0.000000e+00   2.696375e-13   96
  2.021542e-01   1.320840e-12   5.298191e-09   1.561378e-13   72
  2.031055e-01   9.720838e-13   0.000000e+00   9.087395e-14   72
  2.040524e-01   1.796892e-12   2.980232e-09   3.907071e-13   32
  2.049949e-01   1.017484e-12   2.649095e-09   1.232419e-13   72
  2.059331e-01   1.505740e-12   3.746387e-09   1.547202e-13   144
  2.087224e-01   1.611899e-12   6.282881e-09   1.726445e-13   96
  2.096439e-01   6.806861e-13   0.000000e+00   6.331595e-14   96
  2.105614e-01   7.458231e-13   0.000000e+00   9.945804e-14   48
  2.114749e-01   9.801361e-13   0.000000e+00   1.505534e-13   72
  2.123845e-01   9.176459e-13   0.000000e+00   1.127764e-13   120
  2.132902e-01   1.187177e-12   0.000000e+00   1.379503e-13   72
  2.150901e-01   1.621025e-12   0.000000e+00   1.991864e-13   48
  2.159845e-01   8.972691e-13   4.235416e-09   1.412293e-13   78
  2.168752e-01   1.019306e-12   3.178914e-09   1.533309e-13   120
  2.177622e-01   9.053027e-13   3.973643e-09   2.023048e-13   48
  2.195255e-01   1.050121e-12   3.746387e-09   1.135827e-13   144
