# power spectrum of chi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.841877e-20   0.000000e+00   3.048786e-20   6
  2.776802e-02   1.357912e-19   0.000000e+00   3.590959e-20   12
  3.400874e-02   8.192649e-20   3.725290e-10   1.611317e-20   8
  3.926991e-02   6.308937e-20   0.000000e+00   2.047014e-20   6
  4.390509e-02   8.075402e-20   0.000000e+00   2.000226e-20   24
  4.809562e-02   6.869755e-20   7.024475e-10   1.112450e-20   24
  5.553604e-02   3.432422e-20   0.000000e+00   1.243829e-20   12
  5.890486e-02   3.890877e-20   7.947286e-10   6.042710e-21   30
  6.209118e-02   2.361866e-20   0.000000e+00   3.533848e-21   24
  6.512178e-02   1.633807e-20   1.216675e-09   4.380260e-21   24
  6.801748e-02   3.836542e-20   7.450581e-10   8.979896e-21   8
  7.079483e-02   1.761669e-20   9.934107e-10   3.812518e-21   24
  7.346727e-02   1.343924e-20   0.000000e+00   2.006769e-21   48
  7.853982e-02   1.229918e-20   0.000000e+00   9.588503e-22   6
  8.095699e-02   1.253858e-20   1.404895e-09   1.389455e-21   48
  8.330406e-02   8.507476e-21   0.000000e+00   1.704992e-21   36
  8.558678e-02   6.975311e-21   9.934107e-10   1.403165e-21   24
  8.781018e-02   7.605552e-21   0.000000e+00   1.395364e-21   24
  8.997866e-02   6.581021e-21   0.000000e+00   1.201547e-21   48
  9.209610e-02   1.490825e-20   1.404895e-09   2.966377e-21   24
  9.619124e-02   9.655650e-21   1.404895e-09   1.679363e-21   24
  9.817477e-02   4.439906e-21   0.000000e+00   1.232604e-21   30
  1.001190e-01   4.895673e-21   0.000000e+00   4.025989e-22   72
  1.020262e-01   3.645078e-21   1.490116e-09   6.549078e-22   32
  1.057375e-01   5.647561e-21   0.000000e+00   5.741302e-22   72
  1.075451e-01   3.478207e-21   0.000000e+00   4.667343e-22   48
  1.110721e-01   4.642278e-21   0.000000e+00   4.382695e-22   12
  1.127942e-01   3.687726e-21   0.000000e+00   3.990737e-22   48
  1.144905e-01   3.414981e-21   0.000000e+00   4.705366e-22   48
  1.161620e-01   2.013780e-21   1.404895e-09   2.610419e-22   48
  1.178097e-01   2.123889e-21   1.589457e-09   3.617765e-22   30
  1.194348e-01   1.093869e-21   1.404895e-09   1.507491e-22   24
  1.210380e-01   2.980146e-21   2.961779e-09   4.068538e-22   72
  1.241824e-01   1.893913e-21   0.000000e+00   2.792554e-22   24
  1.257251e-01   1.622972e-21   0.000000e+00   1.575761e-22   96
  1.272490e-01   2.624756e-21   0.000000e+00   2.793637e-22   48
  1.287550e-01   2.284851e-21   2.433349e-09   4.262877e-22   24
  1.302436e-01   1.841356e-21   2.433349e-09   2.579385e-22   24
  1.317153e-01   1.506963e-21   0.000000e+00   1.891428e-22   72
  1.331707e-01   1.314424e-21   0.000000e+00   1.625579e-22   48
  1.360350e-01   1.571169e-21   1.490116e-09   6.857621e-22   8
  1.374447e-01   1.337345e-21   1.766064e-09   1.987228e-22   54
  1.388401e-01   1.884116e-21   0.000000e+00   2.259293e-22   84
  1.402216e-01   1.049504e-21   0.000000e+00   1.683140e-22   48
  1.415897e-01   1.066026e-21   1.986821e-09   1.671231e-22   24
  1.429446e-01   9.694271e-22   1.873193e-09   1.151438e-22   72
  1.442869e-01   1.301319e-21   0.000000e+00   1.106853e-22   96
  1.469345e-01   9.315057e-22   0.000000e+00   1.248659e-22   48
  1.482407e-01   8.771104e-22   0.000000e+00   1.133269e-22   48
  1.495354e-01   1.221565e-21   1.986821e-09   3.165664e-22   24
  1.508189e-01   1.243040e-21   0.000000e+00   1.401150e-22   72
  1.533539e-01   9.056496e-22   1.873193e-09   9.984397e-23   72
  1.546058e-01   9.691084e-22   0.000000e+00   9.056786e-23   96
  1.570796e-01   1.970514e-22   0.000000e+00   6.598064e-23   6
  1.583021e-01   7.629868e-22   0.000000e+00   8.285885e-23   96
  1.595151e-01   7.936125e-22   1.986821e-09   8.074413e-23   96
  1.607190e-01   1.336372e-21   0.000000e+00   1.971607e-22   24
  1.619140e-01   7.831009e-22   2.809790e-09   1.200459e-22   48
  1.631002e-01   6.650991e-22   0.000000e+00   7.720019e-23   96
  1.642778e-01   7.651721e-22   0.000000e+00   1.117065e-22   48
  1.666081e-01   6.801612e-22   0.000000e+00   1.148848e-22   36
  1.677611e-01   7.108737e-22   3.441276e-09   1.136617e-22   48
  1.689063e-01   4.977846e-22   3.893359e-09   4.265627e-23   120
  1.700437e-01   8.000408e-22   0.000000e+00   1.465127e-22   56
  1.711736e-01   5.555323e-22   1.986821e-09   6.532501e-23   24
  1.722960e-01   5.426473e-22   0.000000e+00   5.783018e-23   96
  1.734112e-01   5.653199e-22   0.000000e+00   6.910675e-23   48
  1.756204e-01   3.244099e-22   0.000000e+00   4.254224e-23   24
  1.767146e-01   4.641229e-22   0.000000e+00   4.800341e-23   102
  1.778021e-01   3.143583e-22   0.000000e+00   3.847731e-23   48
  1.788829e-01   4.652760e-22   0.000000e+00   5.541050e-23   72
  1.799573e-01   5.721082e-22   0.000000e+00   9.537759e-23   48
  1.810253e-01   3.298169e-22   0.000000e+00   2.814541e-23   48
  1.820871e-01   3.263523e-22   4.495664e-09   2.600223e-23   120
  1.841922e-01   2.764620e-22   2.809790e-09   5.221251e-23   24
  1.852358e-01   3.929848e-22   2.649095e-09   2.732547e-23   144
  1.862735e-01   3.605903e-22   3.178914e-09   3.130745e-23   120
  1.873055e-01   3.479191e-22   2.809790e-09   3.797914e-23   48
  1.893526e-01   3.881272e-22   2.809790e-09   7.175711e-23   48
  1.903679e-01   2.901809e-22   2.809790e-09   3.020864e-23   96
  1.923825e-01   3.802020e-22   2.809790e-09   5.433273e-23   24
  1.933819e-01   2.297424e-22   0.000000e+00   3.204815e-23   48
  1.943761e-01   2.419688e-22   3.532127e-09   2.665529e-23   108
  1.953653e-01   2.984371e-22   0.000000e+00   3.092119e-23   72
  1.963495e-01   2.891934e-22   0.000000e+00   7.934106e-23   30
  1.973288e-01   2.924510e-22   0.000000e+00   2.115923e-23   168
  1.983033e-01   3.115021e-22   0.000000e+00   4.787886e-23   48
  2.002380e-01   2.301645e-22   0.000000e+00   2.330786e-23   72
  2.011984e-01   2.290471e-22   0.000000e+00   2.198897e-23   96
  2.021542e-01   2.575200e-22   5.298191e-09   2.857433e-23   72
  2.031055e-01   2.462390e-22   0.000000e+00   2.635307e-23   72
  2.040524e-01   1.388064e-22   2.980232e-09   2.531986e-23   32
  2.049949e-01   2.769447e-22   2.649095e-09   3.434671e-23   72
  2.059331e-01   2.025784e-22   3.746387e-09   1.711044e-23   144
  2.087224e-01   2.102983e-22   6.282881e-09   2.030522e-23   96
  2.096439e-01   2.158821e-22   0.000000e+00   1.795933e-23   96
  2.105614e-01   1.382536e-22   0.000000e+00   1.471359e-23   48
  2.114749e-01   2.062654e-22   0.000000e+00   2.167072e-23   72
  2.123845e-01   1.656215e-22   0.000000e+00   1.409099e-23   120
  2.132902e-01   1.663832e-22   0.000000e+00   2.223352e-23   72
  2.150901e-01   2.337523e-22   0.000000e+00   3.304448e-23   48
  2.159845e-01   1.625042e-22   4.235416e-09   1.751096e-23   78
  2.168752e-01   1.956119e-22   3.178914e-09   1.539919e-23   120
  2.177622e-01   1.326906e-22   3.973643e-09   1.517441e-23   48
  2.195255e-01   1.698333e-22   3.746387e-09   1.688987e-23   144
  2.204018e-01   1.392996e-22   3.746387e-09   1.168822e-23   144
  2.221441e-01   7.383406e-23   0.000000e+00   1.716289e-23   12
  2.230102e-01   1.684759e-22   0.000000e+00   1.478588e-23   144
  2.238729e-01   1.101020e-22   4.866699e-09   1.325000e-23   48
  2.247323e-01   1.211324e-22   3.178914e-09   1.162044e-23   120
  2.255884e-01   1.521966e-22   0.000000e+00   1.997708e-23   48
  2.264413e-01   1.498477e-22   0.000000e+00   3.103038e-23   48
  2.272910e-01   1.383664e-22   0.000000e+00   1.190225e-23   168
  2.289809e-01   1.696677e-22   0.000000e+00   2.953946e-23   48
  2.298212e-01   1.206039e-22   2.809790e-09   1.082107e-23   96
  2.306585e-01   1.437290e-22   2.809790e-09   1.358469e-23   96
  2.314927e-01   7.984018e-23   0.000000e+00   9.377643e-24   72
  2.323239e-01   1.245821e-22   2.809790e-09   1.537210e-23   48
  2.331522e-01   1.362891e-22   0.000000e+00   9.955792e-24   96
  2.339775e-01   8.376593e-23   0.000000e+00   1.153001e-23   48
  2.356194e-01   1.122216e-22   3.178914e-09   1.821480e-23   30
  2.364362e-01   1.116262e-22   2.809790e-09   1.145888e-23   96
  2.372501e-01   1.092349e-22   0.000000e+00   7.556562e-24   192
  2.380612e-01   1.200805e-22   3.973643e-09   1.624530e-23   48
  2.380612e-01   7.571572e-23   0.000000e+00   1.940216e-23   8
  2.388695e-01   7.610345e-23   2.809790e-09   9.311474e-24   24
  2.396752e-01   8.365606e-23   0.000000e+00   7.264055e-24   168
  2.404781e-01   7.941411e-23   0.000000e+00   6.480418e-24   120
  2.420760e-01   8.291415e-23   5.923557e-09   7.361722e-24   72
  2.428710e-01   7.634669e-23   3.746387e-09   5.538007e-24   144
  2.436634e-01   7.898480e-23   0.000000e+00   9.636546e-24   96
  2.444532e-01   1.154349e-22   0.000000e+00   1.259923e-23   96
  2.460253e-01   9.241487e-23   4.588368e-09   9.268600e-24   72
  2.468075e-01   7.483596e-23   3.973643e-09   8.842839e-24   96
  2.483647e-01   1.245206e-22   0.000000e+00   2.873389e-23   24
  2.491396e-01   7.983791e-23   0.000000e+00   6.247044e-24   192
  2.499122e-01   6.589362e-23   3.532127e-09   5.795782e-24   108
  2.506823e-01   9.180815e-23   0.000000e+00   2.726153e-23   24
  2.514501e-01   7.109112e-23   0.000000e+00   6.331536e-24   96
  2.522156e-01   6.385835e-23   0.000000e+00   6.950433e-24   96
  2.529787e-01   8.166322e-23   3.178914e-09   6.534524e-24   120
  2.544981e-01   7.324569e-23   0.000000e+00   1.231915e-23   48
  2.552544e-01   7.596287e-23   5.989783e-09   8.028201e-24   78
  2.560085e-01   6.978774e-23   0.000000e+00   4.779762e-24   144
