# power spectrum of chi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.080272e-20   0.000000e+00   2.811865e-20   6
  2.776802e-02   1.218024e-19   0.000000e+00   3.119012e-20   12
  3.400874e-02   7.863526e-20   3.725290e-10   1.574410e-20   8
  3.926991e-02   5.258735e-20   0.000000e+00   1.728583e-20   6
  4.390509e-02   7.109135e-20   0.000000e+00   1.747734e-20   24
  4.809562e-02   5.999696e-20   7.024475e-10   9.239783e-21   24
  5.553604e-02   2.947095e-20   0.000000e+00   1.070923e-20   12
  5.890486e-02   3.279227e-20   7.947286e-10   4.788092e-21   30
  6.209118e-02   2.023300e-20   0.000000e+00   2.767310e-21   24
  6.512178e-02   1.404441e-20   1.216675e-09   3.726992e-21   24
  6.801748e-02   3.020031e-20   7.450581e-10   5.453817e-21   8
  7.079483e-02   1.365756e-20   9.934107e-10   2.680212e-21   24
  7.346727e-02   1.066373e-20   0.000000e+00   1.413680e-21   48
  7.853982e-02   1.034383e-20   0.000000e+00   5.426829e-22   6
  8.095699e-02   1.001656e-20   1.404895e-09   9.887851e-22   48
  8.330406e-02   6.030352e-21   0.000000e+00   1.113247e-21   36
  8.558678e-02   5.580946e-21   9.934107e-10   1.288849e-21   24
  8.781018e-02   6.282529e-21   0.000000e+00   1.054072e-21   24
  8.997866e-02   5.220620e-21   0.000000e+00   8.151548e-22   48
  9.209610e-02   1.042959e-20   1.404895e-09   1.993064e-21   24
  9.619124e-02   6.054751e-21   1.404895e-09   1.191891e-21   24
  9.817477e-02   3.269069e-21   0.000000e+00   8.907666e-22   30
  1.001190e-01   3.908745e-21   0.000000e+00   2.784752e-22   72
  1.020262e-01   2.521459e-21   1.490116e-09   4.162370e-22   32
  1.057375e-01   4.046543e-21   0.000000e+00   4.082642e-22   72
  1.075451e-01   2.530839e-21   0.000000e+00   3.333612e-22   48
  1.110721e-01   2.575048e-21   0.000000e+00   2.590410e-22   12
  1.127942e-01   2.360050e-21   0.000000e+00   3.065582e-22   48
  1.144905e-01   2.355476e-21   0.000000e+00   3.052146e-22   48
  1.161620e-01   1.175372e-21   1.404895e-09   1.592422e-22   48
  1.178097e-01   1.790856e-21   1.589457e-09   2.518453e-22   30
  1.194348e-01   1.025972e-21   1.404895e-09   2.015331e-22   24
  1.210380e-01   1.839193e-21   2.961779e-09   2.181027e-22   72
  1.241824e-01   1.324682e-21   0.000000e+00   1.926276e-22   24
