# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   6.757086e-20   0.000000e+00   2.370344e-20   6
  2.776802e-02   9.887539e-20   0.000000e+00   2.633598e-20   12
  3.400874e-02   6.712436e-20   3.725290e-10   1.372122e-20   8
  3.926991e-02   4.035738e-20   0.000000e+00   1.362168e-20   6
  4.390509e-02   5.690524e-20   0.000000e+00   1.394694e-20   24
  4.809562e-02   4.821159e-20   7.024475e-10   7.125596e-21   24
  5.553604e-02   2.297966e-20   0.000000e+00   8.517073e-21   12
  5.890486e-02   2.526052e-20   7.947286e-10   3.534930e-21   30
  6.209118e-02   1.686217e-20   0.000000e+00   2.276694e-21   24
  6.512178e-02   1.127547e-20   1.216675e-09   3.056240e-21   24
  6.801748e-02   2.206592e-20   7.450581e-10   2.990337e-21   8
  7.079483e-02   1.045471e-20   9.934107e-10   1.869132e-21   24
  7.346727e-02   8.459719e-21   0.000000e+00   9.825436e-22   48
  7.853982e-02   8.267392e-21   0.000000e+00   3.461713e-22   6
  8.095699e-02   7.754206e-21   1.404895e-09   7.196346e-22   48
  8.330406e-02   4.584603e-21   0.000000e+00   8.223606e-22   36
  8.558678e-02   4.829024e-21   9.934107e-10   1.176276e-21   24
  8.781018e-02   5.202983e-21   0.000000e+00   8.043661e-22   24
  8.997866e-02   4.073856e-21   0.000000e+00   5.372157e-22   48
  9.209610e-02   7.389323e-21   1.404895e-09   1.319691e-21   24
  9.619124e-02   3.895735e-21   1.404895e-09   8.122988e-22   24
  9.817477e-02   2.587976e-21   0.000000e+00   6.911505e-22   30
  1.001190e-01   3.272258e-21   0.000000e+00   2.039875e-22   72
  1.020262e-01   1.771366e-21   1.490116e-09   3.019265e-22   32
  1.057375e-01   2.974608e-21   0.000000e+00   3.167425e-22   72
  1.075451e-01   1.938829e-21   0.000000e+00   2.463162e-22   48
  1.110721e-01   1.535550e-21   0.000000e+00   2.516924e-22   12
  1.127942e-01   1.723262e-21   0.000000e+00   2.599937e-22   48
  1.144905e-01   1.759046e-21   0.000000e+00   2.372807e-22   48
  1.161620e-01   7.941091e-22   1.404895e-09   1.163016e-22   48
  1.178097e-01   1.691109e-21   1.589457e-09   2.352159e-22   30
  1.194348e-01   1.035908e-21   1.404895e-09   2.471298e-22   24
  1.210380e-01   1.285138e-21   2.961779e-09   1.405999e-22   72
  1.241824e-01   1.091333e-21   0.000000e+00   1.540081e-22   24
  1.257251e-01   9.035082e-22   0.000000e+00   7.821640e-23   96
  1.272490e-01   1.004274e-21   0.000000e+00   1.073617e-22   48
  1.287550e-01   1.497937e-21   2.433349e-09   1.819847e-22   24
  1.302436e-01   1.063909e-21   2.433349e-09   1.443107e-22   24
  1.317153e-01   8.791151e-22   0.000000e+00   8.808637e-23   72
  1.331707e-01   9.031337e-22   0.000000e+00   1.223026e-22   48
  1.360350e-01   4.042865e-22   1.490116e-09   1.603783e-22   8
  1.374447e-01   7.130398e-22   1.766064e-09   8.992393e-23   54
  1.388401e-01   8.867900e-22   0.000000e+00   9.514977e-23   84
  1.402216e-01   6.828775e-22   0.000000e+00   9.116080e-23   48
  1.415897e-01   6.774815e-22   1.986821e-09   1.232990e-22   24
  1.429446e-01   5.431949e-22   1.873193e-09   6.031851e-23   72
  1.442869e-01   6.076007e-22   0.000000e+00   5.192185e-23   96
  1.469345e-01   5.850044e-22   0.000000e+00   7.767029e-23   48
  1.482407e-01   3.243489e-22   0.000000e+00   4.925717e-23   48
  1.495354e-01   6.628810e-22   1.986821e-09   1.516216e-22   24
  1.508189e-01   4.511357e-22   0.000000e+00   5.732435e-23   72
  1.533539e-01   4.293007e-22   1.873193e-09   4.173699e-23   72
  1.546058e-01   4.163791e-22   0.000000e+00   4.175485e-23   96
  1.570796e-01   6.120323e-22   0.000000e+00   2.468201e-22   6
  1.583021e-01   3.574783e-22   0.000000e+00   3.354997e-23   96
  1.595151e-01   3.737969e-22   1.986821e-09   4.037344e-23   96
  1.607190e-01   4.437458e-22   0.000000e+00   5.310141e-23   24
  1.619140e-01   3.326919e-22   2.809790e-09   5.735902e-23   48
  1.631002e-01   3.609197e-22   0.000000e+00   3.699866e-23   96
  1.642778e-01   2.479567e-22   0.000000e+00   3.099440e-23   48
  1.666081e-01   3.975780e-22   0.000000e+00   4.206742e-23   36
  1.677611e-01   2.587276e-22   3.441276e-09   5.056296e-23   48
  1.689063e-01   2.387101e-22   3.893359e-09   1.783009e-23   120
  1.700437e-01   2.481737e-22   0.000000e+00   5.229704e-23   56
  1.711736e-01   1.713009e-22   1.986821e-09   4.017749e-23   24
  1.722960e-01   2.463472e-22   0.000000e+00   2.245066e-23   96
  1.734112e-01   1.804675e-22   0.000000e+00   2.146095e-23   48
  1.756204e-01   1.784727e-22   0.000000e+00   2.361251e-23   24
  1.767146e-01   1.975457e-22   0.000000e+00   2.201955e-23   102
  1.778021e-01   1.816649e-22   0.000000e+00   1.860698e-23   48
  1.788829e-01   1.887250e-22   0.000000e+00   2.013115e-23   72
  1.799573e-01   2.390334e-22   0.000000e+00   4.322822e-23   48
  1.810253e-01   1.737149e-22   0.000000e+00   1.791174e-23   48
  1.820871e-01   1.427549e-22   4.495664e-09   1.216398e-23   120
  1.841922e-01   1.502197e-22   2.809790e-09   3.798156e-23   24
  1.852358e-01   1.448365e-22   2.649095e-09   1.411961e-23   144
  1.862735e-01   1.233160e-22   3.178914e-09   1.077135e-23   120
  1.873055e-01   1.296818e-22   2.809790e-09   2.076586e-23   48
  1.893526e-01   9.946639e-23   2.809790e-09   1.193283e-23   48
  1.903679e-01   1.103331e-22   2.809790e-09   1.333095e-23   96
  1.923825e-01   1.253757e-22   2.809790e-09   2.374435e-23   24
  1.933819e-01   1.361168e-22   0.000000e+00   1.717934e-23   48
  1.943761e-01   1.205411e-22   3.532127e-09   9.888268e-24   108
  1.953653e-01   9.388769e-23   0.000000e+00   8.708396e-24   72
  1.963495e-01   7.337077e-23   0.000000e+00   1.165600e-23   30
  1.973288e-01   1.122516e-22   0.000000e+00   9.116407e-24   168
  1.983033e-01   1.484335e-22   0.000000e+00   1.993951e-23   48
  2.002380e-01   9.010567e-23   0.000000e+00   1.464472e-23   72
  2.011984e-01   1.092841e-22   0.000000e+00   1.189093e-23   96
  2.021542e-01   1.103200e-22   5.298191e-09   1.013380e-23   72
  2.031055e-01   8.252171e-23   0.000000e+00   7.283447e-24   72
  2.040524e-01   8.664006e-23   2.980232e-09   1.343663e-23   32
  2.049949e-01   1.159455e-22   2.649095e-09   1.239473e-23   72
  2.059331e-01   7.762089e-23   3.746387e-09   6.699950e-24   144
  2.087224e-01   8.699788e-23   6.282881e-09   1.049952e-23   96
  2.096439e-01   6.201377e-23   0.000000e+00   5.209819e-24   96
  2.105614e-01   5.484024e-23   0.000000e+00   6.907507e-24   48
  2.114749e-01   5.437158e-23   0.000000e+00   7.109244e-24   72
  2.123845e-01   7.695688e-23   0.000000e+00   6.191978e-24   120
  2.132902e-01   5.527968e-23   0.000000e+00   6.493046e-24   72
  2.150901e-01   1.148258e-22   0.000000e+00   1.472618e-23   48
  2.159845e-01   6.532161e-23   4.235416e-09   7.319937e-24   78
  2.168752e-01   5.484212e-23   3.178914e-09   4.651129e-24   120
  2.177622e-01   5.791663e-23   3.973643e-09   7.218237e-24   48
  2.195255e-01   6.463550e-23   3.746387e-09   6.240098e-24   144
  2.204018e-01   6.391911e-23   3.746387e-09   5.026923e-24   144
  2.221441e-01   4.579016e-23   0.000000e+00   4.947096e-24   12
  2.230102e-01   6.468309e-23   0.000000e+00   6.182555e-24   144
  2.238729e-01   5.007924e-23   4.866699e-09   8.738316e-24   48
  2.247323e-01   5.427636e-23   3.178914e-09   4.636334e-24   120
  2.255884e-01   4.796713e-23   0.000000e+00   6.448259e-24   48
  2.264413e-01   4.999835e-23   0.000000e+00   5.655144e-24   48
  2.272910e-01   4.895075e-23   0.000000e+00   3.501733e-24   168
  2.289809e-01   3.992616e-23   0.000000e+00   6.237356e-24   48
  2.298212e-01   5.769348e-23   2.809790e-09   7.193194e-24   96
  2.306585e-01   5.299624e-23   2.809790e-09   5.466750e-24   96
  2.314927e-01   4.579405e-23   0.000000e+00   4.840441e-24   72
  2.323239e-01   5.933622e-23   2.809790e-09   7.878461e-24   48
  2.331522e-01   4.575563e-23   0.000000e+00   4.484175e-24   96
  2.339775e-01   2.574689e-23   0.000000e+00   3.281433e-24   48
  2.356194e-01   2.069761e-23   3.178914e-09   3.987996e-24   30
  2.364362e-01   3.841967e-23   2.809790e-09   2.885539e-24   96
  2.372501e-01   4.200445e-23   0.000000e+00   2.593019e-24   192
  2.380612e-01   4.360772e-23   3.973643e-09   7.401359e-24   48
  2.380612e-01   1.752109e-23   0.000000e+00   6.360885e-24   8
  2.388695e-01   4.247370e-23   2.809790e-09   6.516091e-24   24
  2.396752e-01   4.266263e-23   0.000000e+00   3.949270e-24   168
  2.404781e-01   3.147668e-23   0.000000e+00   3.170775e-24   120
  2.420760e-01   2.831262e-23   5.923557e-09   3.033475e-24   72
  2.428710e-01   3.642947e-23   3.746387e-09   3.083792e-24   144
  2.436634e-01   3.981790e-23   0.000000e+00   3.971697e-24   96
  2.444532e-01   3.175585e-23   0.000000e+00   4.486211e-24   96
  2.460253e-01   4.410392e-23   4.588368e-09   3.677170e-24   72
  2.468075e-01   2.884357e-23   3.973643e-09   2.389217e-24   96
  2.483647e-01   4.930015e-23   0.000000e+00   1.409881e-23   24
  2.491396e-01   2.526424e-23   0.000000e+00   1.867953e-24   192
  2.499122e-01   2.334650e-23   3.532127e-09   2.632127e-24   108
  2.506823e-01   3.768083e-23   0.000000e+00   1.054408e-23   24
  2.514501e-01   3.590440e-23   0.000000e+00   3.286591e-24   96
  2.522156e-01   2.528772e-23   0.000000e+00   2.863819e-24   96
  2.529787e-01   2.029797e-23   3.178914e-09   2.868509e-24   120
  2.544981e-01   2.548671e-23   0.000000e+00   3.450902e-24   48
  2.552544e-01   3.784719e-23   5.989783e-09   3.295959e-24   78
  2.560085e-01   3.104971e-23   0.000000e+00   2.664917e-24   144
  2.567603e-01   2.087912e-23   0.000000e+00   2.545057e-24   120
  2.575100e-01   1.620836e-23   4.866699e-09   4.093613e-24   24
  2.582575e-01   2.537006e-23   0.000000e+00   1.862057e-24   168
  2.590028e-01   3.416128e-23   0.000000e+00   3.835537e-24   144
  2.604871e-01   4.048617e-23   4.866699e-09   6.220203e-24   24
  2.612261e-01   2.400483e-23   0.000000e+00   4.012371e-24   48
  2.619630e-01   2.352157e-23   2.809790e-09   2.391383e-24   96
  2.626978e-01   2.112022e-23   0.000000e+00   2.203512e-24   120
  2.634306e-01   1.858767e-23   0.000000e+00   1.751198e-24   72
  2.641613e-01   2.224184e-23   4.495664e-09   1.893421e-24   120
  2.648900e-01   2.213760e-23   0.000000e+00   1.857220e-24   144
  2.663415e-01   2.378170e-23   0.000000e+00   5.084128e-24   48
  2.670642e-01   2.039310e-23   5.619580e-09   1.768678e-24   192
  2.677851e-01   2.322756e-23   0.000000e+00   1.855630e-24   144
  2.685040e-01   1.894433e-23   0.000000e+00   3.027658e-24   48
  2.699360e-01   2.003715e-23   0.000000e+00   1.395869e-24   192
  2.706492e-01   1.372099e-23   0.000000e+00   1.879492e-24   48
  2.720699e-01   7.894138e-24   2.980232e-09   1.562723e-24   8
  2.727775e-01   1.409442e-23   3.973643e-09   1.199937e-24   48
  2.734833e-01   1.780897e-23   8.991328e-09   1.506209e-24   240
  2.741872e-01   2.025625e-23   0.000000e+00   2.058527e-24   96
  2.748894e-01   1.912471e-23   3.532127e-09   2.889034e-24   54
  2.755897e-01   1.757368e-23   0.000000e+00   1.769667e-24   120
  2.762883e-01   1.641512e-23   3.178914e-09   1.231282e-24   120
  2.776802e-01   1.219035e-23   0.000000e+00   1.365836e-24   84
  2.783735e-01   1.413527e-23   0.000000e+00   1.322575e-24   144
  2.790651e-01   1.575411e-23   3.746387e-09   2.133496e-24   72
  2.797550e-01   1.430265e-23   0.000000e+00   1.457505e-24   96
  2.804432e-01   2.027043e-23   0.000000e+00   3.089244e-24   48
  2.811298e-01   1.113380e-23   0.000000e+00   1.061046e-24   96
  2.818146e-01   1.480659e-23   4.495664e-09   1.022338e-24   240
  2.831793e-01   1.378202e-23   3.973643e-09   2.951444e-24   24
  2.838592e-01   1.463158e-23   0.000000e+00   1.024555e-24   240
  2.845375e-01   1.073890e-23   5.619580e-09   1.212735e-24   96
  2.852142e-01   1.012637e-23   0.000000e+00   1.105570e-24   72
  2.858892e-01   1.579975e-23   3.746387e-09   1.884379e-24   72
  2.865627e-01   1.587119e-23   0.000000e+00   1.341841e-24   96
  2.872346e-01   1.522347e-23   0.000000e+00   1.608753e-24   72
  2.885737e-01   1.815140e-23   0.000000e+00   1.887942e-24   96
  2.892409e-01   1.003774e-23   3.973643e-09   9.225947e-25   96
  2.899066e-01   8.527069e-24   7.786718e-09   8.366245e-25   120
  2.905708e-01   1.266425e-23   3.973643e-09   1.797611e-24   96
  2.918946e-01   1.440417e-23   0.000000e+00   1.173830e-24   192
  2.925542e-01   1.711807e-23   3.746387e-09   1.327504e-24   144
  2.938691e-01   9.440097e-24   0.000000e+00   1.579368e-24   48
  2.945243e-01   1.170256e-23   6.229375e-09   1.114680e-24   150
  2.951781e-01   1.155798e-23   5.619580e-09   9.910459e-25   96
  2.958304e-01   9.999310e-24   7.108269e-09   9.318398e-25   120
  2.964813e-01   1.474907e-23   0.000000e+00   2.305406e-24   48
  2.971308e-01   1.316089e-23   5.506041e-09   2.093221e-24   120
  2.977788e-01   1.275958e-23   0.000000e+00   1.046705e-24   240
  2.990707e-01   1.447278e-23   3.973643e-09   2.566951e-24   24
  2.997146e-01   1.492718e-23   0.000000e+00   1.266521e-24   144
  3.003570e-01   9.746107e-24   7.064254e-09   7.297908e-25   216
  3.009981e-01   2.319294e-23   0.000000e+00   3.520272e-24   48
  3.016379e-01   1.028941e-23   0.000000e+00   1.251205e-24   72
  3.022763e-01   9.887536e-24   0.000000e+00   8.417712e-25   144
  3.029133e-01   1.195480e-23   0.000000e+00   1.710935e-24   96
  3.048165e-01   1.203713e-23   0.000000e+00   1.368146e-24   144
  3.054482e-01   1.225850e-23   0.000000e+00   1.184396e-24   132
  3.060786e-01   8.792866e-24   0.000000e+00   1.137045e-24   104
  3.067078e-01   7.027587e-24   3.746387e-09   6.455740e-25   72
  3.073356e-01   1.073909e-23   6.422377e-09   1.114559e-24   168
  3.079622e-01   7.307004e-24   0.000000e+00   6.925434e-25   144
  3.092116e-01   1.154312e-23   0.000000e+00   1.479827e-24   96
  3.098343e-01   8.025770e-24   0.000000e+00   6.828053e-25   144
  3.104559e-01   1.009325e-23   0.000000e+00   8.411318e-25   144
  3.110762e-01   9.455212e-24   9.082613e-09   8.079064e-25   168
  3.123131e-01   5.399433e-24   0.000000e+00   7.002842e-25   48
  3.129297e-01   1.152940e-23   3.973643e-09   1.021673e-24   192
  3.141593e-01   2.142650e-23   0.000000e+00   3.562595e-24   3
  3.147723e-01   7.843460e-24   5.994218e-09   6.003435e-25   180
  3.153841e-01   7.462080e-24   0.000000e+00   8.289582e-25   84
  3.159947e-01   8.336371e-24   5.619580e-09   9.892996e-25   96
  3.166041e-01   6.850786e-24   0.000000e+00   6.383408e-25   84
  3.172124e-01   8.969039e-24   6.882552e-09   7.984446e-25   192
  3.178195e-01   1.387355e-23   0.000000e+00   1.563820e-24   72
  3.190302e-01   6.948582e-24   6.422377e-09   5.471689e-25   84
  3.196339e-01   1.351223e-23   0.000000e+00   1.398922e-24   84
  3.202364e-01   6.801708e-24   0.000000e+00   5.234987e-25   216
  3.208378e-01   3.204951e-24   0.000000e+00   5.007326e-25   48
  3.214381e-01   8.551059e-24   0.000000e+00   2.303265e-24   24
  3.220372e-01   6.282680e-24   0.000000e+00   4.241506e-25   240
  3.226352e-01   6.915441e-24   0.000000e+00   6.443170e-25   192
  3.238280e-01   4.859807e-24   0.000000e+00   7.681221e-25   36
  3.244227e-01   1.338440e-23   0.000000e+00   2.469790e-24   72
  3.250163e-01   6.387681e-24   0.000000e+00   7.809467e-25   132
  3.256089e-01   9.869960e-24   0.000000e+00   9.099960e-25   120
  3.262004e-01   1.329903e-23   0.000000e+00   1.798161e-24   72
  3.267908e-01   5.908043e-24   0.000000e+00   7.196363e-25   72
  3.273801e-01   1.009365e-23   1.015467e-08   8.585527e-25   168
  3.285556e-01   4.496056e-24   0.000000e+00   4.883133e-25   48
  3.291418e-01   6.470310e-24   6.477696e-09   8.184366e-25   204
  3.297269e-01   9.284880e-24   0.000000e+00   1.436789e-24   72
  3.303111e-01   8.062359e-24   0.000000e+00   1.292327e-24   72
  3.314762e-01   6.925787e-24   0.000000e+00   9.585431e-25   168
  3.320572e-01   6.171485e-24   3.746387e-09   5.240944e-25   144
  3.332162e-01   1.249998e-23   0.000000e+00   2.427194e-24   24
  3.337942e-01   4.741168e-24   3.973643e-09   4.507309e-25   96
  3.343712e-01   6.900787e-24   0.000000e+00   5.374584e-25   192
  3.349472e-01   4.388004e-24   0.000000e+00   4.946183e-25   72
  3.355222e-01   8.392653e-24   5.298191e-09   1.805064e-24   36
  3.360963e-01   6.460075e-24   7.865773e-09   6.241103e-25   168
  3.366693e-01   3.631471e-24   0.000000e+00   3.209244e-25   120
  3.378125e-01   7.433802e-24   6.882552e-09   1.121698e-24   96
  3.383827e-01   6.062664e-24   0.000000e+00   5.249894e-25   144
  3.389519e-01   9.168936e-24   0.000000e+00   9.964189e-25   48
  3.395201e-01   4.049996e-24   1.059638e-08   4.847512e-25   144
  3.400874e-01   3.308114e-24   0.000000e+00   3.497445e-25   56
  3.406537e-01   3.332735e-24   5.298191e-09   4.363212e-25   72
  3.412191e-01   2.736211e-24   3.973643e-09   3.701976e-25   96
  3.423471e-01   2.665961e-24   3.973643e-09   4.394211e-25   24
  3.429097e-01   4.441790e-24   0.000000e+00   4.397807e-25   156
