# power spectrum of hij
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.924938e-19   0.000000e+00   1.847658e-19   6
  2.776802e-02   3.120186e-19   0.000000e+00   2.885757e-20   12
  3.400874e-02   1.406402e-19   3.725290e-10   1.612778e-20   8
  3.926991e-02   1.177014e-19   0.000000e+00   1.514310e-20   6
  4.390509e-02   9.457260e-20   0.000000e+00   8.945621e-21   24
  4.809562e-02   3.994649e-20   7.024475e-10   6.544606e-21   24
  5.553604e-02   4.169571e-20   0.000000e+00   5.102442e-21   12
  5.890486e-02   1.914113e-20   7.947286e-10   1.548180e-21   30
  6.209118e-02   1.664674e-20   0.000000e+00   2.119206e-21   24
  6.512178e-02   1.952038e-20   1.216675e-09   2.427728e-21   24
  6.801748e-02   1.104350e-20   7.450581e-10   3.504604e-21   8
  7.079483e-02   1.100055e-20   9.934107e-10   1.345483e-21   24
  7.346727e-02   9.649060e-21   0.000000e+00   9.195334e-22   48
  7.853982e-02   8.219808e-21   0.000000e+00   1.547311e-21   6
  8.095699e-02   6.413254e-21   1.404895e-09   5.957949e-22   48
  8.330406e-02   6.788182e-21   0.000000e+00   7.422785e-22   36
  8.558678e-02   4.840925e-21   9.934107e-10   8.237134e-22   24
  8.781018e-02   5.045836e-21   0.000000e+00   6.865225e-22   24
  8.997866e-02   3.384671e-21   0.000000e+00   3.411005e-22   48
  9.209610e-02   4.188925e-21   1.404895e-09   6.198531e-22   24
  9.619124e-02   2.834755e-21   1.404895e-09   3.288764e-22   24
  9.817477e-02   3.571547e-21   0.000000e+00   5.319394e-22   30
  1.001190e-01   2.042388e-21   0.000000e+00   1.743665e-22   72
  1.020262e-01   2.253426e-21   1.490116e-09   2.371941e-22   32
  1.057375e-01   2.255651e-21   0.000000e+00   1.898821e-22   72
  1.075451e-01   1.861422e-21   0.000000e+00   1.887344e-22   48
  1.110721e-01   1.235088e-21   0.000000e+00   2.739601e-22   12
  1.127942e-01   1.244822e-21   0.000000e+00   9.646258e-23   48
  1.144905e-01   1.368286e-21   0.000000e+00   9.235283e-23   48
  1.161620e-01   1.175985e-21   1.404895e-09   1.034143e-22   48
  1.178097e-01   9.911115e-22   1.589457e-09   1.571556e-22   30
  1.194348e-01   1.103340e-21   1.404895e-09   1.263298e-22   24
  1.210380e-01   9.463904e-22   2.961779e-09   6.626072e-23   72
  1.241824e-01   6.956828e-22   0.000000e+00   6.792169e-23   24
  1.257251e-01   7.443967e-22   0.000000e+00   5.061451e-23   96
  1.272490e-01   8.244824e-22   0.000000e+00   5.757997e-23   48
  1.287550e-01   5.282282e-22   2.433349e-09   5.237782e-23   24
  1.302436e-01   7.200693e-22   2.433349e-09   7.840225e-23   24
  1.317153e-01   6.239649e-22   0.000000e+00   4.312003e-23   72
  1.331707e-01   7.913770e-22   0.000000e+00   5.454591e-23   48
  1.360350e-01   4.611237e-22   1.490116e-09   7.121629e-23   8
  1.374447e-01   4.877592e-22   1.766064e-09   5.130725e-23   54
  1.388401e-01   4.231704e-22   0.000000e+00   3.500923e-23   84
  1.402216e-01   3.947699e-22   0.000000e+00   4.687601e-23   48
  1.415897e-01   5.161252e-22   1.986821e-09   5.323279e-23   24
  1.429446e-01   3.624830e-22   1.873193e-09   3.693408e-23   72
  1.442869e-01   3.595616e-22   0.000000e+00   3.494546e-23   96
  1.469345e-01   3.187926e-22   0.000000e+00   2.168140e-23   48
  1.482407e-01   3.713359e-22   0.000000e+00   3.434017e-23   48
  1.495354e-01   2.475813e-22   1.986821e-09   4.446925e-23   24
  1.508189e-01   3.114301e-22   0.000000e+00   2.132595e-23   72
  1.533539e-01   2.593058e-22   1.873193e-09   2.784178e-23   72
  1.546058e-01   2.201905e-22   0.000000e+00   1.581241e-23   96
  1.570796e-01   2.451845e-22   0.000000e+00   5.491402e-23   6
  1.583021e-01   2.185506e-22   0.000000e+00   1.487627e-23   96
  1.595151e-01   2.384614e-22   1.986821e-09   1.560628e-23   96
  1.607190e-01   2.895032e-22   0.000000e+00   2.142322e-23   24
  1.619140e-01   2.274637e-22   2.809790e-09   2.114864e-23   48
  1.631002e-01   1.737753e-22   0.000000e+00   1.280744e-23   96
  1.642778e-01   1.736463e-22   0.000000e+00   1.438382e-23   48
  1.666081e-01   2.063246e-22   0.000000e+00   2.286721e-23   36
  1.677611e-01   1.956451e-22   3.441276e-09   1.649429e-23   48
  1.689063e-01   1.519822e-22   3.893359e-09   1.021200e-23   120
  1.700437e-01   1.581296e-22   0.000000e+00   1.732556e-23   56
  1.711736e-01   1.466837e-22   1.986821e-09   1.874758e-23   24
  1.722960e-01   1.398519e-22   0.000000e+00   1.207457e-23   96
  1.734112e-01   1.371978e-22   0.000000e+00   1.543697e-23   48
  1.756204e-01   1.910783e-22   0.000000e+00   2.174204e-23   24
  1.767146e-01   1.187391e-22   0.000000e+00   7.631752e-24   102
  1.778021e-01   1.481300e-22   0.000000e+00   1.584258e-23   48
  1.788829e-01   1.273558e-22   0.000000e+00   9.293866e-24   72
  1.799573e-01   1.128411e-22   0.000000e+00   1.555615e-23   48
  1.810253e-01   1.244821e-22   0.000000e+00   1.248027e-23   48
  1.820871e-01   1.285864e-22   4.495664e-09   1.057920e-23   120
  1.841922e-01   7.511491e-23   2.809790e-09   1.225983e-23   24
  1.852358e-01   9.899385e-23   2.649095e-09   6.255625e-24   144
  1.862735e-01   9.528098e-23   3.178914e-09   5.361535e-24   120
  1.873055e-01   1.149751e-22   2.809790e-09   1.083470e-23   48
  1.893526e-01   9.130414e-23   2.809790e-09   7.233218e-24   48
  1.903679e-01   8.194614e-23   2.809790e-09   5.131806e-24   96
  1.923825e-01   7.067524e-23   2.809790e-09   6.582675e-24   24
  1.933819e-01   6.673801e-23   0.000000e+00   6.348962e-24   48
  1.943761e-01   7.141100e-23   3.532127e-09   4.113263e-24   108
  1.953653e-01   7.227150e-23   0.000000e+00   6.160089e-24   72
  1.963495e-01   5.849339e-23   0.000000e+00   3.698399e-24   30
  1.973288e-01   7.004042e-23   0.000000e+00   3.345957e-24   168
  1.983033e-01   6.065150e-23   0.000000e+00   6.380942e-24   48
  2.002380e-01   7.057422e-23   0.000000e+00   6.452115e-24   72
  2.011984e-01   6.522336e-23   0.000000e+00   4.670295e-24   96
  2.021542e-01   6.726866e-23   5.298191e-09   5.016387e-24   72
  2.031055e-01   5.941043e-23   0.000000e+00   3.261592e-24   72
  2.040524e-01   6.879788e-23   2.980232e-09   1.018313e-23   32
  2.049949e-01   5.010146e-23   2.649095e-09   3.590197e-24   72
  2.059331e-01   5.670212e-23   3.746387e-09   4.151223e-24   144
  2.087224e-01   5.100089e-23   6.282881e-09   2.586347e-24   96
  2.096439e-01   4.139716e-23   0.000000e+00   3.330551e-24   96
  2.105614e-01   4.871459e-23   0.000000e+00   6.147440e-24   48
  2.114749e-01   5.035201e-23   0.000000e+00   3.580490e-24   72
  2.123845e-01   5.114332e-23   0.000000e+00   3.419721e-24   120
  2.132902e-01   5.162549e-23   0.000000e+00   3.853169e-24   72
  2.150901e-01   5.852280e-23   0.000000e+00   5.686190e-24   48
  2.159845e-01   4.795230e-23   4.235416e-09   3.819345e-24   78
  2.168752e-01   4.677892e-23   3.178914e-09   3.109038e-24   120
  2.177622e-01   3.846036e-23   3.973643e-09   4.787746e-24   48
  2.195255e-01   4.206604e-23   3.746387e-09   2.498970e-24   144
  2.204018e-01   3.759909e-23   3.746387e-09   2.276387e-24   144
  2.221441e-01   5.019367e-23   0.000000e+00   1.164203e-23   12
  2.230102e-01   3.274330e-23   0.000000e+00   2.030656e-24   144
  2.238729e-01   4.677395e-23   4.866699e-09   5.740651e-24   48
  2.247323e-01   3.801190e-23   3.178914e-09   2.216565e-24   120
  2.255884e-01   3.291267e-23   0.000000e+00   2.528969e-24   48
  2.264413e-01   2.463763e-23   0.000000e+00   2.531373e-24   48
  2.272910e-01   3.292763e-23   0.000000e+00   2.381278e-24   168
  2.289809e-01   2.609402e-23   0.000000e+00   2.511529e-24   48
  2.298212e-01   3.563276e-23   2.809790e-09   2.397091e-24   96
  2.306585e-01   2.780583e-23   2.809790e-09   2.379275e-24   96
  2.314927e-01   3.084694e-23   0.000000e+00   3.001322e-24   72
  2.323239e-01   1.853051e-23   2.809790e-09   1.551039e-24   48
  2.331522e-01   3.134890e-23   0.000000e+00   2.202237e-24   96
  2.339775e-01   2.728408e-23   0.000000e+00   2.577327e-24   48
  2.356194e-01   3.472435e-23   3.178914e-09   4.346304e-24   30
  2.364362e-01   2.696501e-23   2.809790e-09   2.007731e-24   96
  2.372501e-01   2.701977e-23   0.000000e+00   1.574563e-24   192
  2.380612e-01   2.573572e-23   3.973643e-09   2.996263e-24   48
  2.380612e-01   1.731415e-23   0.000000e+00   3.305425e-24   8
  2.388695e-01   4.609742e-23   2.809790e-09   8.258475e-24   24
  2.396752e-01   2.530753e-23   0.000000e+00   1.565618e-24   168
  2.404781e-01   2.003090e-23   0.000000e+00   1.083741e-24   120
  2.420760e-01   2.267638e-23   5.923557e-09   2.967903e-24   72
  2.428710e-01   2.221297e-23   3.746387e-09   1.497626e-24   144
  2.436634e-01   2.171108e-23   0.000000e+00   1.515842e-24   96
  2.444532e-01   1.846435e-23   0.000000e+00   1.473727e-24   96
  2.460253e-01   3.262376e-23   4.588368e-09   2.674943e-24   72
  2.468075e-01   1.868013e-23   3.973643e-09   1.766293e-24   96
  2.483647e-01   2.211918e-23   0.000000e+00   3.228983e-24   24
  2.491396e-01   1.711277e-23   0.000000e+00   8.624654e-25   192
  2.499122e-01   1.875234e-23   3.532127e-09   1.366668e-24   108
  2.506823e-01   1.400307e-23   0.000000e+00   1.614647e-24   24
  2.514501e-01   1.956642e-23   0.000000e+00   1.533993e-24   96
  2.522156e-01   1.467176e-23   0.000000e+00   1.074811e-24   96
  2.529787e-01   1.241494e-23   3.178914e-09   8.894514e-25   120
  2.544981e-01   1.289268e-23   0.000000e+00   1.065759e-24   48
  2.552544e-01   2.307225e-23   5.989783e-09   1.315799e-24   78
  2.560085e-01   1.925649e-23   0.000000e+00   1.372458e-24   144
  2.567603e-01   1.795615e-23   0.000000e+00   1.494318e-24   120
  2.575100e-01   1.266724e-23   4.866699e-09   1.889219e-24   24
  2.582575e-01   1.766906e-23   0.000000e+00   1.008234e-24   168
  2.590028e-01   1.710597e-23   0.000000e+00   1.218746e-24   144
  2.604871e-01   1.677151e-23   4.866699e-09   2.908923e-24   24
  2.612261e-01   1.464747e-23   0.000000e+00   1.464759e-24   48
  2.619630e-01   2.018570e-23   2.809790e-09   1.645375e-24   96
  2.626978e-01   1.628096e-23   0.000000e+00   1.448598e-24   120
  2.634306e-01   1.191222e-23   0.000000e+00   9.952601e-25   72
  2.641613e-01   1.319488e-23   4.495664e-09   8.792941e-25   120
  2.648900e-01   1.540711e-23   0.000000e+00   1.032401e-24   144
  2.663415e-01   1.292225e-23   0.000000e+00   1.099911e-24   48
  2.670642e-01   1.103938e-23   5.619580e-09   6.149123e-25   192
  2.677851e-01   1.524911e-23   0.000000e+00   1.455388e-24   144
  2.685040e-01   1.539700e-23   0.000000e+00   1.899959e-24   48
  2.699360e-01   1.340713e-23   0.000000e+00   7.827697e-25   192
  2.706492e-01   1.090204e-23   0.000000e+00   1.242472e-24   48
  2.720699e-01   6.015554e-24   2.980232e-09   4.406409e-25   8
  2.727775e-01   1.117127e-23   3.973643e-09   1.170943e-24   48
  2.734833e-01   1.166824e-23   8.991328e-09   6.618210e-25   240
  2.741872e-01   1.297453e-23   0.000000e+00   1.045004e-24   96
  2.748894e-01   1.256995e-23   3.532127e-09   1.082756e-24   54
  2.755897e-01   1.430398e-23   0.000000e+00   1.194080e-24   120
  2.762883e-01   1.189187e-23   3.178914e-09   7.548132e-25   120
  2.776802e-01   8.816675e-24   0.000000e+00   8.509947e-25   84
  2.783735e-01   1.139746e-23   0.000000e+00   7.372579e-25   144
  2.790651e-01   1.072109e-23   3.746387e-09   9.836579e-25   72
  2.797550e-01   9.711158e-24   0.000000e+00   1.073766e-24   96
  2.804432e-01   1.384061e-23   0.000000e+00   1.399041e-24   48
  2.811298e-01   1.229793e-23   0.000000e+00   1.045838e-24   96
  2.818146e-01   1.003364e-23   4.495664e-09   4.914895e-25   240
  2.831793e-01   7.343004e-24   3.973643e-09   1.185815e-24   24
  2.838592e-01   9.169630e-24   0.000000e+00   5.674912e-25   240
  2.845375e-01   8.755397e-24   5.619580e-09   7.229060e-25   96
  2.852142e-01   7.345019e-24   0.000000e+00   6.197630e-25   72
  2.858892e-01   9.356314e-24   3.746387e-09   7.340204e-25   72
  2.865627e-01   1.089758e-23   0.000000e+00   1.091274e-24   96
  2.872346e-01   1.607960e-23   0.000000e+00   1.164182e-24   72
  2.885737e-01   9.103355e-24   0.000000e+00   6.455027e-25   96
  2.892409e-01   5.337259e-24   3.973643e-09   3.543393e-25   96
  2.899066e-01   5.857192e-24   7.786718e-09   3.392876e-25   120
  2.905708e-01   7.070972e-24   3.973643e-09   4.731815e-25   96
  2.918946e-01   8.228399e-24   0.000000e+00   4.282592e-25   192
  2.925542e-01   9.369029e-24   3.746387e-09   5.176236e-25   144
  2.938691e-01   4.069935e-24   0.000000e+00   3.608207e-25   48
  2.945243e-01   8.535244e-24   6.229375e-09   6.136261e-25   150
  2.951781e-01   5.934143e-24   5.619580e-09   6.476622e-25   96
  2.958304e-01   7.051526e-24   7.108269e-09   4.815925e-25   120
  2.964813e-01   6.518646e-24   0.000000e+00   9.816140e-25   48
  2.971308e-01   7.638466e-24   5.506041e-09   5.871099e-25   120
  2.977788e-01   7.419221e-24   0.000000e+00   4.649245e-25   240
  2.990707e-01   8.525115e-24   3.973643e-09   1.029189e-24   24
  2.997146e-01   7.343150e-24   0.000000e+00   4.884330e-25   144
  3.003570e-01   5.947918e-24   7.064254e-09   3.306633e-25   216
  3.009981e-01   1.130616e-23   0.000000e+00   1.183268e-24   48
