# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.106527e-19   0.000000e+00   1.913917e-19   6
  2.776802e-02   3.234212e-19   0.000000e+00   2.986134e-20   12
  3.400874e-02   1.441758e-19   3.725290e-10   1.674855e-20   8
  3.926991e-02   1.225683e-19   0.000000e+00   1.571163e-20   6
  4.390509e-02   9.836382e-20   0.000000e+00   9.377189e-21   24
  4.809562e-02   4.129780e-20   7.024475e-10   6.706535e-21   24
  5.553604e-02   4.365874e-20   0.000000e+00   5.413737e-21   12
  5.890486e-02   2.010585e-20   7.947286e-10   1.642805e-21   30
  6.209118e-02   1.747014e-20   0.000000e+00   2.199265e-21   24
  6.512178e-02   2.042466e-20   1.216675e-09   2.550148e-21   24
  6.801748e-02   1.150716e-20   7.450581e-10   3.629272e-21   8
  7.079483e-02   1.163367e-20   9.934107e-10   1.407040e-21   24
  7.346727e-02   1.019491e-20   0.000000e+00   9.697239e-22   48
  7.853982e-02   8.783618e-21   0.000000e+00   1.624715e-21   6
  8.095699e-02   6.867513e-21   1.404895e-09   6.335408e-22   48
  8.330406e-02   7.246134e-21   0.000000e+00   7.962271e-22   36
  8.558678e-02   5.209618e-21   9.934107e-10   8.777723e-22   24
  8.781018e-02   5.443096e-21   0.000000e+00   7.366341e-22   24
  8.997866e-02   3.631592e-21   0.000000e+00   3.649832e-22   48
  9.209610e-02   4.438891e-21   1.404895e-09   6.628619e-22   24
  9.619124e-02   3.058741e-21   1.404895e-09   3.521017e-22   24
  9.817477e-02   3.884246e-21   0.000000e+00   5.733699e-22   30
  1.001190e-01   2.204775e-21   0.000000e+00   1.876270e-22   72
  1.020262e-01   2.446529e-21   1.490116e-09   2.583591e-22   32
  1.057375e-01   2.444628e-21   0.000000e+00   2.047618e-22   72
  1.075451e-01   2.045143e-21   0.000000e+00   2.049443e-22   48
  1.110721e-01   1.338330e-21   0.000000e+00   2.900973e-22   12
  1.127942e-01   1.375645e-21   0.000000e+00   1.054148e-22   48
  1.144905e-01   1.501356e-21   0.000000e+00   9.975620e-23   48
  1.161620e-01   1.296840e-21   1.404895e-09   1.128615e-22   48
  1.178097e-01   1.086339e-21   1.589457e-09   1.713419e-22   30
  1.194348e-01   1.238759e-21   1.404895e-09   1.431678e-22   24
  1.210380e-01   1.047457e-21   2.961779e-09   7.334577e-23   72
  1.241824e-01   7.548796e-22   0.000000e+00   7.380878e-23   24
  1.257251e-01   8.270188e-22   0.000000e+00   5.578646e-23   96
  1.272490e-01   9.056516e-22   0.000000e+00   6.315128e-23   48
  1.287550e-01   5.884048e-22   2.433349e-09   5.850572e-23   24
  1.302436e-01   7.974410e-22   2.433349e-09   8.276713e-23   24
  1.317153e-01   6.966004e-22   0.000000e+00   4.842825e-23   72
  1.331707e-01   8.835649e-22   0.000000e+00   5.980586e-23   48
  1.360350e-01   5.364343e-22   1.490116e-09   7.959275e-23   8
  1.374447e-01   5.446463e-22   1.766064e-09   5.622131e-23   54
  1.388401e-01   4.791383e-22   0.000000e+00   3.906999e-23   84
  1.402216e-01   4.501738e-22   0.000000e+00   5.353031e-23   48
  1.415897e-01   5.764862e-22   1.986821e-09   5.860714e-23   24
  1.429446e-01   4.053342e-22   1.873193e-09   4.130358e-23   72
  1.442869e-01   4.055158e-22   0.000000e+00   3.918689e-23   96
  1.469345e-01   3.641749e-22   0.000000e+00   2.437930e-23   48
  1.482407e-01   4.209227e-22   0.000000e+00   3.800966e-23   48
  1.495354e-01   2.800162e-22   1.986821e-09   5.073166e-23   24
  1.508189e-01   3.583592e-22   0.000000e+00   2.461950e-23   72
  1.533539e-01   2.970052e-22   1.873193e-09   3.156794e-23   72
  1.546058e-01   2.514287e-22   0.000000e+00   1.774548e-23   96
  1.570796e-01   2.707848e-22   0.000000e+00   5.717465e-23   6
  1.583021e-01   2.527650e-22   0.000000e+00   1.706360e-23   96
  1.595151e-01   2.736016e-22   1.986821e-09   1.782374e-23   96
  1.607190e-01   3.314535e-22   0.000000e+00   2.441844e-23   24
  1.619140e-01   2.576175e-22   2.809790e-09   2.363454e-23   48
  1.631002e-01   1.988781e-22   0.000000e+00   1.473449e-23   96
  1.642778e-01   2.009773e-22   0.000000e+00   1.668083e-23   48
  1.666081e-01   2.348279e-22   0.000000e+00   2.544641e-23   36
  1.677611e-01   2.238593e-22   3.441276e-09   1.871952e-23   48
  1.689063e-01   1.769021e-22   3.893359e-09   1.168529e-23   120
  1.700437e-01   1.841060e-22   0.000000e+00   2.009331e-23   56
  1.711736e-01   1.689066e-22   1.986821e-09   2.202965e-23   24
  1.722960e-01   1.648680e-22   0.000000e+00   1.412187e-23   96
  1.734112e-01   1.601463e-22   0.000000e+00   1.821608e-23   48
  1.756204e-01   2.167154e-22   0.000000e+00   2.442193e-23   24
  1.767146e-01   1.388241e-22   0.000000e+00   9.000734e-24   102
  1.778021e-01   1.725663e-22   0.000000e+00   1.825285e-23   48
  1.788829e-01   1.482371e-22   0.000000e+00   1.063505e-23   72
  1.799573e-01   1.298742e-22   0.000000e+00   1.783682e-23   48
  1.810253e-01   1.464551e-22   0.000000e+00   1.441249e-23   48
  1.820871e-01   1.509430e-22   4.495664e-09   1.194244e-23   120
  1.841922e-01   9.059147e-23   2.809790e-09   1.420998e-23   24
  1.852358e-01   1.162575e-22   2.649095e-09   7.285538e-24   144
  1.862735e-01   1.112730e-22   3.178914e-09   6.194020e-24   120
  1.873055e-01   1.350133e-22   2.809790e-09   1.277539e-23   48
  1.893526e-01   1.084070e-22   2.809790e-09   8.632269e-24   48
  1.903679e-01   9.603689e-23   2.809790e-09   5.878525e-24   96
  1.923825e-01   8.493486e-23   2.809790e-09   7.745967e-24   24
  1.933819e-01   7.828187e-23   0.000000e+00   7.127317e-24   48
  1.943761e-01   8.538430e-23   3.532127e-09   4.828616e-24   108
  1.953653e-01   8.564936e-23   0.000000e+00   7.163824e-24   72
  1.963495e-01   6.985571e-23   0.000000e+00   4.114357e-24   30
  1.973288e-01   8.369617e-23   0.000000e+00   3.967219e-24   168
  1.983033e-01   6.998899e-23   0.000000e+00   7.367268e-24   48
  2.002380e-01   8.356538e-23   0.000000e+00   7.533675e-24   72
  2.011984e-01   7.800583e-23   0.000000e+00   5.477520e-24   96
  2.021542e-01   8.075438e-23   5.298191e-09   5.903602e-24   72
  2.031055e-01   7.121455e-23   0.000000e+00   3.870563e-24   72
  2.040524e-01   8.059434e-23   2.980232e-09   1.153686e-23   32
  2.049949e-01   5.939114e-23   2.649095e-09   4.201327e-24   72
  2.059331e-01   6.756885e-23   3.746387e-09   4.920862e-24   144
  2.087224e-01   6.038562e-23   6.282881e-09   2.989408e-24   96
  2.096439e-01   5.052239e-23   0.000000e+00   4.049961e-24   96
  2.105614e-01   5.921034e-23   0.000000e+00   7.377286e-24   48
  2.114749e-01   6.124666e-23   0.000000e+00   4.274419e-24   72
  2.123845e-01   6.134328e-23   0.000000e+00   3.959917e-24   120
  2.132902e-01   6.274285e-23   0.000000e+00   4.629945e-24   72
  2.150901e-01   6.862926e-23   0.000000e+00   6.580125e-24   48
  2.159845e-01   5.809016e-23   4.235416e-09   4.527282e-24   78
  2.168752e-01   5.702877e-23   3.178914e-09   3.713186e-24   120
  2.177622e-01   4.602349e-23   3.973643e-09   5.355477e-24   48
  2.195255e-01   5.098390e-23   3.746387e-09   2.981462e-24   144
  2.204018e-01   4.478992e-23   3.746387e-09   2.654385e-24   144
  2.221441e-01   6.131522e-23   0.000000e+00   1.431395e-23   12
  2.230102e-01   3.959002e-23   0.000000e+00   2.424784e-24   144
  2.238729e-01   5.637769e-23   4.866699e-09   6.861880e-24   48
  2.247323e-01   4.582112e-23   3.178914e-09   2.603745e-24   120
  2.255884e-01   3.978772e-23   0.000000e+00   3.053937e-24   48
  2.264413e-01   3.078806e-23   0.000000e+00   3.120490e-24   48
  2.272910e-01   3.994870e-23   0.000000e+00   2.801571e-24   168
  2.289809e-01   3.233490e-23   0.000000e+00   3.057080e-24   48
  2.298212e-01   4.336786e-23   2.809790e-09   2.868505e-24   96
  2.306585e-01   3.415857e-23   2.809790e-09   2.849997e-24   96
  2.314927e-01   3.719449e-23   0.000000e+00   3.457973e-24   72
  2.323239e-01   2.313821e-23   2.809790e-09   1.888288e-24   48
