# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.541593e-20   0.000000e+00   2.956880e-20   6
  2.776802e-02   1.284459e-19   0.000000e+00   3.288083e-20   12
  3.400874e-02   7.915153e-20   3.725290e-10   1.561790e-20   8
  3.926991e-02   5.860472e-20   0.000000e+00   1.890621e-20   6
  4.390509e-02   7.622013e-20   0.000000e+00   1.879922e-20   24
  4.809562e-02   6.449342e-20   7.024475e-10   1.028902e-20   24
  5.553604e-02   3.202303e-20   0.000000e+00   1.146991e-20   12
  5.890486e-02   3.579510e-20   7.947286e-10   5.455563e-21   30
  6.209118e-02   2.194912e-20   0.000000e+00   3.179928e-21   24
  6.512178e-02   1.521714e-20   1.216675e-09   4.052967e-21   24
  6.801748e-02   3.471183e-20   7.450581e-10   7.695686e-21   8
  7.079483e-02   1.603920e-20   9.934107e-10   3.426768e-21   24
  7.346727e-02   1.200009e-20   0.000000e+00   1.751903e-21   48
  7.853982e-02   1.140052e-20   0.000000e+00   8.796391e-22   6
  8.095699e-02   1.127560e-20   1.404895e-09   1.221436e-21   48
  8.330406e-02   7.370777e-21   0.000000e+00   1.446267e-21   36
  8.558678e-02   6.059289e-21   9.934107e-10   1.254053e-21   24
  8.781018e-02   6.878075e-21   0.000000e+00   1.264284e-21   24
  8.997866e-02   5.774710e-21   0.000000e+00   1.045978e-21   48
  9.209610e-02   1.260821e-20   1.404895e-09   2.461008e-21   24
  9.619124e-02   7.931553e-21   1.404895e-09   1.403650e-21   24
  9.817477e-02   3.840145e-21   0.000000e+00   1.080955e-21   30
  1.001190e-01   4.312392e-21   0.000000e+00   3.372279e-22   72
  1.020262e-01   3.107178e-21   1.490116e-09   5.472325e-22   32
  1.057375e-01   4.737769e-21   0.000000e+00   4.833614e-22   72
  1.075451e-01   2.979730e-21   0.000000e+00   4.014426e-22   48
  1.110721e-01   3.827635e-21   0.000000e+00   3.309028e-22   12
  1.127942e-01   3.034626e-21   0.000000e+00   3.410043e-22   48
  1.144905e-01   2.800930e-21   0.000000e+00   3.773506e-22   48
  1.161620e-01   1.626019e-21   1.404895e-09   2.093139e-22   48
  1.178097e-01   1.768217e-21   1.589457e-09   2.858049e-22   30
  1.194348e-01   1.029151e-21   1.404895e-09   1.481220e-22   24
  1.210380e-01   2.385297e-21   2.961779e-09   3.137800e-22   72
  1.241824e-01   1.622439e-21   0.000000e+00   2.474514e-22   24
  1.257251e-01   1.331141e-21   0.000000e+00   1.265380e-22   96
  1.272490e-01   2.069585e-21   0.000000e+00   2.177810e-22   48
  1.287550e-01   1.873850e-21   2.433349e-09   3.317688e-22   24
  1.302436e-01   1.521291e-21   2.433349e-09   2.122148e-22   24
  1.317153e-01   1.197999e-21   0.000000e+00   1.520831e-22   72
  1.331707e-01   1.101375e-21   0.000000e+00   1.343565e-22   48
  1.360350e-01   1.133411e-21   1.490116e-09   4.839299e-22   8
  1.374447e-01   1.077183e-21   1.766064e-09   1.601803e-22   54
  1.388401e-01   1.479141e-21   0.000000e+00   1.733076e-22   84
  1.402216e-01   8.947573e-22   0.000000e+00   1.427020e-22   48
  1.415897e-01   8.735334e-22   1.986821e-09   1.404945e-22   24
  1.429446e-01   7.908374e-22   1.873193e-09   9.493885e-23   72
  1.442869e-01   1.013022e-21   0.000000e+00   8.426354e-23   96
  1.469345e-01   7.320111e-22   0.000000e+00   9.945177e-23   48
  1.482407e-01   6.608273e-22   0.000000e+00   9.219303e-23   48
  1.495354e-01   1.002188e-21   1.986821e-09   2.600051e-22   24
  1.508189e-01   9.434954e-22   0.000000e+00   1.065462e-22   72
  1.533539e-01   6.596590e-22   1.873193e-09   7.231230e-23   72
  1.546058e-01   7.525378e-22   0.000000e+00   6.903711e-23   96
  1.570796e-01   2.468286e-22   0.000000e+00   9.673682e-23   6
  1.583021e-01   5.971147e-22   0.000000e+00   6.267232e-23   96
  1.595151e-01   6.151045e-22   1.986821e-09   6.049987e-23   96
  1.607190e-01   9.611297e-22   0.000000e+00   1.412664e-22   24
  1.619140e-01   5.867109e-22   2.809790e-09   9.255074e-23   48
  1.631002e-01   5.102880e-22   0.000000e+00   6.158272e-23   96
  1.642778e-01   5.199420e-22   0.000000e+00   7.660835e-23   48
  1.666081e-01   5.341704e-22   0.000000e+00   8.471674e-23   36
  1.677611e-01   5.388407e-22   3.441276e-09   8.660127e-23   48
  1.689063e-01   3.689825e-22   3.893359e-09   3.226368e-23   120
  1.700437e-01   5.571408e-22   0.000000e+00   1.064801e-22   56
  1.711736e-01   3.748314e-22   1.986821e-09   4.622098e-23   24
  1.722960e-01   3.984928e-22   0.000000e+00   4.143504e-23   96
  1.734112e-01   3.826108e-22   0.000000e+00   4.651350e-23   48
  1.756204e-01   2.439308e-22   0.000000e+00   3.245006e-23   24
  1.767146e-01   3.339913e-22   0.000000e+00   3.608841e-23   102
  1.778021e-01   2.397995e-22   0.000000e+00   2.803968e-23   48
  1.788829e-01   3.312615e-22   0.000000e+00   3.818926e-23   72
  1.799573e-01   4.188496e-22   0.000000e+00   7.253264e-23   48
  1.810253e-01   2.500122e-22   0.000000e+00   2.102157e-23   48
  1.820871e-01   2.286156e-22   4.495664e-09   1.943973e-23   120
  1.841922e-01   1.943714e-22   2.809790e-09   3.780985e-23   24
  1.852358e-01   2.595837e-22   2.649095e-09   1.809450e-23   144
  1.862735e-01   2.474889e-22   3.178914e-09   2.021024e-23   120
  1.873055e-01   2.639555e-22   2.809790e-09   2.966086e-23   48
  1.893526e-01   2.480210e-22   2.809790e-09   4.872108e-23   48
  1.903679e-01   2.065631e-22   2.809790e-09   2.162380e-23   96
  1.923825e-01   2.686621e-22   2.809790e-09   3.945935e-23   24
  1.933819e-01   1.631609e-22   0.000000e+00   2.457346e-23   48
  1.943761e-01   1.717512e-22   3.532127e-09   1.929259e-23   108
  1.953653e-01   1.892506e-22   0.000000e+00   1.955435e-23   72
  1.963495e-01   1.829335e-22   0.000000e+00   5.440257e-23   30
  1.973288e-01   1.968197e-22   0.000000e+00   1.420559e-23   168
  1.983033e-01   2.354783e-22   0.000000e+00   3.914190e-23   48
  2.002380e-01   1.528042e-22   0.000000e+00   1.607590e-23   72
  2.011984e-01   1.636518e-22   0.000000e+00   1.734668e-23   96
  2.021542e-01   1.729922e-22   5.298191e-09   1.924467e-23   72
  2.031055e-01   1.604795e-22   0.000000e+00   1.828349e-23   72
  2.040524e-01   1.080577e-22   2.980232e-09   2.006812e-23   32
  2.049949e-01   1.822011e-22   2.649095e-09   2.279155e-23   72
  2.059331e-01   1.293789e-22   3.746387e-09   1.143188e-23   144
  2.087224e-01   1.404473e-22   6.282881e-09   1.376483e-23   96
  2.096439e-01   1.247029e-22   0.000000e+00   1.061089e-23   96
  2.105614e-01   8.348232e-23   0.000000e+00   9.587338e-24   48
  2.114749e-01   1.329247e-22   0.000000e+00   1.346612e-23   72
  2.123845e-01   1.102570e-22   0.000000e+00   1.001493e-23   120
  2.132902e-01   1.076343e-22   0.000000e+00   1.349268e-23   72
  2.150901e-01   1.708555e-22   0.000000e+00   2.524695e-23   48
  2.159845e-01   1.007086e-22   4.235416e-09   9.768818e-24   78
  2.168752e-01   1.139396e-22   3.178914e-09   9.141583e-24   120
  2.177622e-01   8.994432e-23   3.973643e-09   9.708247e-24   48
  2.195255e-01   1.065328e-22   3.746387e-09   1.168693e-23   144
  2.204018e-01   9.012537e-23   3.746387e-09   7.633503e-24   144
  2.221441e-01   4.562614e-23   0.000000e+00   9.962408e-24   12
  2.230102e-01   1.052397e-22   0.000000e+00   9.511696e-24   144
  2.238729e-01   7.546773e-23   4.866699e-09   1.037241e-23   48
  2.247323e-01   7.928388e-23   3.178914e-09   8.167443e-24   120
  2.255884e-01   9.117103e-23   0.000000e+00   1.209747e-23   48
  2.264413e-01   8.526266e-23   0.000000e+00   1.851881e-23   48
  2.272910e-01   8.570383e-23   0.000000e+00   7.515357e-24   168
  2.289809e-01   9.199709e-23   0.000000e+00   1.714617e-23   48
  2.298212e-01   7.657132e-23   2.809790e-09   6.874842e-24   96
  2.306585e-01   8.405530e-23   2.809790e-09   8.094652e-24   96
  2.314927e-01   5.074320e-23   0.000000e+00   6.446481e-24   72
  2.323239e-01   7.281672e-23   2.809790e-09   9.951985e-24   48
  2.331522e-01   8.648144e-23   0.000000e+00   7.046258e-24   96
  2.339775e-01   4.280017e-23   0.000000e+00   6.499672e-24   48
  2.356194e-01   6.042976e-23   3.178914e-09   8.172789e-24   30
  2.364362e-01   6.655629e-23   2.809790e-09   6.280803e-24   96
  2.372501e-01   6.517415e-23   0.000000e+00   4.375079e-24   192
  2.380612e-01   7.833738e-23   3.973643e-09   1.039403e-23   48
  2.380612e-01   3.202269e-23   0.000000e+00   8.212576e-24   8
  2.388695e-01   6.448922e-23   2.809790e-09   8.069560e-24   24
  2.396752e-01   5.156782e-23   0.000000e+00   4.582223e-24   168
  2.404781e-01   4.293126e-23   0.000000e+00   3.672074e-24   120
  2.420760e-01   4.614553e-23   5.923557e-09   4.263923e-24   72
  2.428710e-01   4.625520e-23   3.746387e-09   3.613813e-24   144
  2.436634e-01   5.088317e-23   0.000000e+00   6.364593e-24   96
  2.444532e-01   6.750253e-23   0.000000e+00   7.852549e-24   96
  2.460253e-01   6.258815e-23   4.588368e-09   6.249906e-24   72
  2.468075e-01   4.374563e-23   3.973643e-09   5.047229e-24   96
  2.483647e-01   8.542043e-23   0.000000e+00   1.987473e-23   24
  2.491396e-01   4.372342e-23   0.000000e+00   3.489461e-24   192
  2.499122e-01   3.854350e-23   3.532127e-09   3.359684e-24   108
  2.506823e-01   5.126638e-23   0.000000e+00   1.283391e-23   24
  2.514501e-01   4.611785e-23   0.000000e+00   4.681182e-24   96
  2.522156e-01   3.463731e-23   0.000000e+00   3.813753e-24   96
  2.529787e-01   4.046165e-23   3.178914e-09   3.267571e-24   120
  2.544981e-01   3.679439e-23   0.000000e+00   5.855629e-24   48
  2.552544e-01   5.250617e-23   5.989783e-09   5.698393e-24   78
  2.560085e-01   4.243654e-23   0.000000e+00   3.146078e-24   144
  2.567603e-01   3.493744e-23   0.000000e+00   3.178802e-24   120
  2.575100e-01   2.036367e-23   4.866699e-09   2.609316e-24   24
  2.582575e-01   3.973563e-23   0.000000e+00   3.471345e-24   168
  2.590028e-01   3.945581e-23   0.000000e+00   4.591201e-24   144
  2.604871e-01   4.398427e-23   4.866699e-09   9.016545e-24   24
  2.612261e-01   4.587092e-23   0.000000e+00   7.243704e-24   48
  2.619630e-01   4.104336e-23   2.809790e-09   5.663400e-24   96
  2.626978e-01   3.643941e-23   0.000000e+00   3.034272e-24   120
  2.634306e-01   2.196679e-23   0.000000e+00   2.385930e-24   72
  2.641613e-01   2.670477e-23   4.495664e-09   2.297604e-24   120
  2.648900e-01   4.069130e-23   0.000000e+00   3.474627e-24   144
  2.663415e-01   2.637887e-23   0.000000e+00   3.607569e-24   48
  2.670642e-01   2.625268e-23   5.619580e-09   2.185981e-24   192
  2.677851e-01   3.548837e-23   0.000000e+00   3.170644e-24   144
  2.685040e-01   3.306530e-23   0.000000e+00   4.799934e-24   48
  2.699360e-01   3.329795e-23   0.000000e+00   3.251936e-24   192
  2.706492e-01   1.988384e-23   0.000000e+00   4.149286e-24   48
  2.720699e-01   2.407712e-23   2.980232e-09   7.116024e-24   8
  2.727775e-01   1.646919e-23   3.973643e-09   2.562645e-24   48
  2.734833e-01   2.305568e-23   8.991328e-09   1.590044e-24   240
  2.741872e-01   2.910036e-23   0.000000e+00   3.121414e-24   96
  2.748894e-01   2.586486e-23   3.532127e-09   2.855930e-24   54
  2.755897e-01   2.793264e-23   0.000000e+00   2.616586e-24   120
  2.762883e-01   2.659561e-23   3.178914e-09   2.398396e-24   120
  2.776802e-01   2.595733e-23   0.000000e+00   2.303436e-24   84
  2.783735e-01   2.309380e-23   0.000000e+00   1.841957e-24   144
  2.790651e-01   2.432396e-23   3.746387e-09   2.465123e-24   72
  2.797550e-01   2.143430e-23   0.000000e+00   2.214190e-24   96
  2.804432e-01   2.933875e-23   0.000000e+00   4.339137e-24   48
  2.811298e-01   2.455084e-23   0.000000e+00   2.548835e-24   96
