# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.031055e-01   1.467034e-23   0.000000e+00   1.461095e-24   72
  2.040524e-01   2.698003e-23   2.980232e-09   3.538929e-24   32
  2.049949e-01   1.874637e-23   2.649095e-09   1.645557e-24   72
  2.059331e-01   1.569068e-23   3.746387e-09   9.773082e-25   144
  2.087224e-01   1.713060e-23   6.282881e-09   1.286567e-24   96
  2.096439e-01   1.078493e-23   0.000000e+00   7.086087e-25   96
  2.105614e-01   1.418958e-23   0.000000e+00   1.442221e-24   48
  2.114749e-01   1.407083e-23   0.000000e+00   1.610001e-24   72
  2.123845e-01   1.684146e-23   0.000000e+00   1.081465e-24   120
  2.132902e-01   1.439079e-23   0.000000e+00   9.840493e-25   72
  2.150901e-01   1.401310e-23   0.000000e+00   1.427813e-24   48
  2.159845e-01   9.513753e-24   4.235416e-09   6.296398e-25   78
  2.168752e-01   1.140185e-23   3.178914e-09   7.205865e-25   120
  2.177622e-01   1.406153e-23   3.973643e-09   2.109563e-24   48
  2.195255e-01   1.354162e-23   3.746387e-09   8.480478e-25   144
  2.204018e-01   1.574060e-23   3.746387e-09   1.096152e-24   144
  2.221441e-01   1.338237e-23   0.000000e+00   4.437617e-24   12
  2.230102e-01   9.996569e-24   0.000000e+00   7.194585e-25   144
  2.238729e-01   1.304204e-23   4.866699e-09   1.461231e-24   48
  2.247323e-01   1.196400e-23   3.178914e-09   7.549939e-25   120
  2.255884e-01   1.047714e-23   0.000000e+00   8.172847e-25   48
  2.264413e-01   6.838243e-24   0.000000e+00   6.145790e-25   48
  2.272910e-01   1.139044e-23   0.000000e+00   6.192508e-25   168
  2.289809e-01   7.147113e-24   0.000000e+00   6.785465e-25   48
  2.298212e-01   7.566013e-24   2.809790e-09   4.587595e-25   96
  2.306585e-01   1.058407e-23   2.809790e-09   9.396208e-25   96
  2.314927e-01   8.270206e-24   0.000000e+00   6.897366e-25   72
  2.323239e-01   7.911388e-24   2.809790e-09   9.147360e-25   48
  2.331522e-01   1.256357e-23   0.000000e+00   9.221304e-25   96
  2.339775e-01   6.334432e-24   0.000000e+00   6.089244e-25   48
  2.356194e-01   6.906053e-24   3.178914e-09   1.180127e-24   30
  2.364362e-01   8.579174e-24   2.809790e-09   7.276247e-25   96
  2.372501e-01   7.473083e-24   0.000000e+00   3.878517e-25   192
  2.380612e-01   1.003619e-23   3.973643e-09   1.050502e-24   48
  2.380612e-01   4.845035e-24   0.000000e+00   2.039114e-24   8
  2.388695e-01   1.124098e-23   2.809790e-09   1.335353e-24   24
  2.396752e-01   7.541714e-24   0.000000e+00   4.421595e-25   168
  2.404781e-01   6.381496e-24   0.000000e+00   4.379589e-25   120
  2.420760e-01   7.523869e-24   5.923557e-09   8.146500e-25   72
  2.428710e-01   6.373441e-24   3.746387e-09   4.072479e-25   144
  2.436634e-01   7.001057e-24   0.000000e+00   5.203448e-25   96
  2.444532e-01   6.445117e-24   0.000000e+00   4.386323e-25   96
  2.460253e-01   1.118134e-23   4.588368e-09   8.315364e-25   72
  2.468075e-01   6.980433e-24   3.973643e-09   6.298933e-25   96
  2.483647e-01   1.053362e-23   0.000000e+00   1.458898e-24   24
  2.491396e-01   6.192617e-24   0.000000e+00   3.717265e-25   192
  2.499122e-01   6.833942e-24   3.532127e-09   4.848672e-25   108
  2.506823e-01   5.877050e-24   0.000000e+00   6.083423e-25   24
  2.514501e-01   6.852960e-24   0.000000e+00   5.053298e-25   96
  2.522156e-01   5.447555e-24   0.000000e+00   3.689455e-25   96
  2.529787e-01   4.412606e-24   3.178914e-09   2.573323e-25   120
  2.544981e-01   5.172778e-24   0.000000e+00   4.454715e-25   48
  2.552544e-01   7.793990e-24   5.989783e-09   5.031943e-25   78
  2.560085e-01   6.743998e-24   0.000000e+00   4.955522e-25   144
  2.567603e-01   5.944538e-24   0.000000e+00   6.241955e-25   120
  2.575100e-01   4.210997e-24   4.866699e-09   3.898805e-25   24
  2.582575e-01   7.046071e-24   0.000000e+00   6.114170e-25   168
  2.590028e-01   7.084029e-24   0.000000e+00   6.095307e-25   144
  2.604871e-01   6.498945e-24   4.866699e-09   9.173545e-25   24
  2.612261e-01   8.622373e-24   0.000000e+00   1.300744e-24   48
  2.619630e-01   6.529682e-24   2.809790e-09   5.725133e-25   96
  2.626978e-01   6.541229e-24   0.000000e+00   4.839502e-25   120
  2.634306e-01   3.985341e-24   0.000000e+00   3.025509e-25   72
  2.641613e-01   4.522332e-24   4.495664e-09   3.186270e-25   120
  2.648900e-01   6.252033e-24   0.000000e+00   4.850777e-25   144
  2.663415e-01   5.178327e-24   0.000000e+00   5.470519e-25   48
  2.670642e-01   4.937743e-24   5.619580e-09   3.790105e-25   192
  2.677851e-01   4.967582e-24   0.000000e+00   3.008445e-25   144
  2.685040e-01   3.991301e-24   0.000000e+00   3.798414e-25   48
  2.699360e-01   4.644596e-24   0.000000e+00   3.169941e-25   192
  2.706492e-01   3.082108e-24   0.000000e+00   3.661900e-25   48
  2.720699e-01   2.444499e-24   2.980232e-09   3.345438e-25   8
  2.727775e-01   3.468721e-24   3.973643e-09   3.175466e-25   48
  2.734833e-01   3.923257e-24   8.991328e-09   1.913715e-25   240
  2.741872e-01   5.018940e-24   0.000000e+00   5.646765e-25   96
  2.748894e-01   4.761921e-24   3.532127e-09   3.704849e-25   54
  2.755897e-01   4.756002e-24   0.000000e+00   5.291265e-25   120
  2.762883e-01   4.563663e-24   3.178914e-09   3.798579e-25   120
  2.776802e-01   5.239272e-24   0.000000e+00   6.223073e-25   84
  2.783735e-01   5.464548e-24   0.000000e+00   3.985497e-25   144
  2.790651e-01   3.663046e-24   3.746387e-09   3.687239e-25   72
  2.797550e-01   3.549645e-24   0.000000e+00   3.153107e-25   96
  2.804432e-01   4.248343e-24   0.000000e+00   5.182228e-25   48
  2.811298e-01   6.214401e-24   0.000000e+00   7.181602e-25   96
  2.818146e-01   3.852314e-24   4.495664e-09   2.136540e-25   240
  2.831793e-01   2.718002e-24   3.973643e-09   3.498816e-25   24
  2.838592e-01   3.666044e-24   0.000000e+00   2.490318e-25   240
  2.845375e-01   3.267881e-24   5.619580e-09   2.658746e-25   96
  2.852142e-01   2.151922e-24   0.000000e+00   1.514718e-25   72
  2.858892e-01   4.220764e-24   3.746387e-09   5.029536e-25   72
