# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.698330e-16   0.000000e+00   1.668932e-17   6
  2.776802e-02   1.508295e-16   0.000000e+00   1.940902e-17   12
  3.400874e-02   1.120036e-16   3.725290e-10   3.988322e-17   8
  3.926991e-02   1.198207e-16   0.000000e+00   2.641851e-17   6
  4.390509e-02   1.788957e-16   0.000000e+00   2.340757e-17   24
  4.809562e-02   9.963233e-17   7.024475e-10   8.292467e-18   24
  5.553604e-02   8.692145e-17   0.000000e+00   1.198712e-17   12
  5.890486e-02   1.118444e-16   7.947286e-10   2.030119e-17   30
  6.209118e-02   1.039907e-16   0.000000e+00   1.003593e-17   24
  6.512178e-02   1.462204e-16   1.216675e-09   2.145804e-17   24
  6.801748e-02   9.275924e-17   7.450581e-10   1.987858e-17   8
  7.079483e-02   6.361361e-17   9.934107e-10   7.041153e-18   24
  7.346727e-02   9.390060e-17   0.000000e+00   8.628993e-18   48
  7.853982e-02   8.498974e-17   0.000000e+00   7.887835e-18   6
  8.095699e-02   8.012194e-17   1.404895e-09   7.399303e-18   48
  8.330406e-02   8.993909e-17   0.000000e+00   6.636489e-18   36
  8.558678e-02   4.213303e-17   9.934107e-10   5.723098e-18   24
  8.781018e-02   7.690812e-17   0.000000e+00   1.173617e-17   24
  8.997866e-02   5.344429e-17   0.000000e+00   4.352106e-18   48
  9.209610e-02   3.133254e-17   1.404895e-09   3.527109e-18   24
  9.619124e-02   3.623359e-17   1.404895e-09   5.173426e-18   24
  9.817477e-02   4.712949e-17   0.000000e+00   6.212862e-18   30
  1.001190e-01   5.158495e-17   0.000000e+00   3.823665e-18   72
  1.020262e-01   7.505765e-17   1.490116e-09   8.872262e-18   32
  1.057375e-01   4.889399e-17   0.000000e+00   3.606337e-18   72
  1.075451e-01   4.096376e-17   0.000000e+00   4.541384e-18   48
  1.110721e-01   1.898846e-17   0.000000e+00   2.504478e-18   12
  1.127942e-01   3.163552e-17   0.000000e+00   2.489221e-18   48
  1.144905e-01   3.185903e-17   0.000000e+00   2.967147e-18   48
  1.161620e-01   2.933527e-17   1.404895e-09   2.387508e-18   48
  1.178097e-01   3.208652e-17   1.589457e-09   2.515173e-18   30
  1.194348e-01   3.054671e-17   1.404895e-09   5.189340e-18   24
  1.210380e-01   3.132701e-17   2.961779e-09   3.017066e-18   72
  1.241824e-01   3.469297e-17   0.000000e+00   3.774568e-18   24
  1.257251e-01   2.745389e-17   0.000000e+00   1.713468e-18   96
  1.272490e-01   2.714711e-17   0.000000e+00   2.381656e-18   48
  1.287550e-01   2.972171e-17   2.433349e-09   2.886183e-18   24
  1.302436e-01   2.764509e-17   2.433349e-09   4.011913e-18   24
  1.317153e-01   2.402659e-17   0.000000e+00   2.144505e-18   72
  1.331707e-01   2.607321e-17   0.000000e+00   2.359559e-18   48
  1.360350e-01   2.007047e-17   1.490116e-09   3.208716e-18   8
  1.374447e-01   2.202448e-17   1.766064e-09   2.696895e-18   54
  1.388401e-01   1.991084e-17   0.000000e+00   1.686849e-18   84
  1.402216e-01   2.591206e-17   0.000000e+00   2.260884e-18   48
  1.415897e-01   2.613103e-17   1.986821e-09   2.268433e-18   24
  1.429446e-01   2.205501e-17   1.873193e-09   1.465349e-18   72
  1.442869e-01   2.171191e-17   0.000000e+00   1.723448e-18   96
