# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.431543e-10   0.000000e+00   5.255816e-11   6
  2.776802e-02   2.083514e-10   0.000000e+00   4.578674e-11   12
  3.400874e-02   1.033063e-10   3.725290e-10   2.916350e-11   8
  3.926991e-02   9.338202e-11   0.000000e+00   2.593824e-11   6
  4.390509e-02   6.748314e-11   0.000000e+00   8.756273e-12   24
  4.809562e-02   5.682247e-11   7.024475e-10   1.108036e-11   24
  5.553604e-02   1.440158e-11   0.000000e+00   3.400165e-12   12
  5.890486e-02   4.095737e-11   7.947286e-10   5.176921e-12   30
  6.209118e-02   2.593370e-11   0.000000e+00   4.727671e-12   24
  6.512178e-02   2.916417e-11   1.216675e-09   5.887180e-12   24
  6.801748e-02   4.979220e-11   7.450581e-10   1.813720e-11   8
  7.079483e-02   1.992214e-11   9.934107e-10   3.817350e-12   24
  7.346727e-02   1.817673e-11   0.000000e+00   2.118992e-12   48
  7.853982e-02   1.543731e-11   0.000000e+00   1.169143e-12   6
  8.095699e-02   2.200766e-11   1.404895e-09   2.601585e-12   48
  8.330406e-02   2.004172e-11   0.000000e+00   2.942491e-12   36
  8.558678e-02   8.586951e-12   9.934107e-10   2.153862e-12   24
  8.781018e-02   1.236552e-11   0.000000e+00   1.842065e-12   24
  8.997866e-02   1.130063e-11   0.000000e+00   1.458591e-12   48
  9.209610e-02   1.598823e-11   1.404895e-09   3.065789e-12   24
  9.619124e-02   9.268874e-12   1.404895e-09   1.886336e-12   24
  9.817477e-02   1.176316e-11   0.000000e+00   2.093937e-12   30
  1.001190e-01   1.149059e-11   0.000000e+00   1.134558e-12   72
  1.020262e-01   1.228611e-11   1.490116e-09   1.765639e-12   32
  1.057375e-01   7.177180e-12   0.000000e+00   1.110195e-12   72
  1.075451e-01   8.236521e-12   0.000000e+00   1.035949e-12   48
  1.110721e-01   3.320459e-12   0.000000e+00   6.783261e-13   12
  1.127942e-01   7.832618e-12   0.000000e+00   1.073969e-12   48
  1.144905e-01   6.783565e-12   0.000000e+00   9.945006e-13   48
  1.161620e-01   4.841086e-12   1.404895e-09   7.103518e-13   48
  1.178097e-01   4.912328e-12   1.589457e-09   8.050860e-13   30
  1.194348e-01   7.928910e-12   1.404895e-09   1.219716e-12   24
  1.210380e-01   5.847852e-12   2.961779e-09   5.568464e-13   72
  1.241824e-01   5.622911e-12   0.000000e+00   2.127221e-12   24
  1.257251e-01   6.883462e-12   0.000000e+00   6.501192e-13   96
  1.272490e-01   3.196073e-12   0.000000e+00   5.853792e-13   48
  1.287550e-01   3.699862e-12   2.433349e-09   6.422053e-13   24
  1.302436e-01   8.820763e-12   2.433349e-09   1.604328e-12   24
  1.317153e-01   4.451381e-12   0.000000e+00   6.042996e-13   72
  1.331707e-01   5.276555e-12   0.000000e+00   7.333923e-13   48
  1.360350e-01   5.226698e-12   1.490116e-09   1.646862e-12   8
  1.374447e-01   4.219832e-12   1.766064e-09   3.703848e-13   54
  1.388401e-01   4.097410e-12   0.000000e+00   4.871859e-13   84
  1.402216e-01   3.533070e-12   0.000000e+00   4.293578e-13   48
  1.415897e-01   3.107161e-12   1.986821e-09   8.888760e-13   24
  1.429446e-01   3.645188e-12   1.873193e-09   3.986629e-13   72
  1.442869e-01   3.542513e-12   0.000000e+00   3.185770e-13   96
  1.469345e-01   2.698534e-12   0.000000e+00   2.825457e-13   48
  1.482407e-01   2.903257e-12   0.000000e+00   4.058958e-13   48
  1.495354e-01   3.304457e-12   1.986821e-09   7.377194e-13   24
  1.508189e-01   2.398882e-12   0.000000e+00   3.206166e-13   72
  1.533539e-01   2.238576e-12   1.873193e-09   3.047726e-13   72
  1.546058e-01   1.884306e-12   0.000000e+00   1.773887e-13   96
  1.570796e-01   7.932980e-13   0.000000e+00   3.957403e-13   6
  1.583021e-01   2.207521e-12   0.000000e+00   2.862936e-13   96
  1.595151e-01   2.193097e-12   1.986821e-09   1.913275e-13   96
  1.607190e-01   1.838988e-12   0.000000e+00   2.314952e-13   24
  1.619140e-01   2.035467e-12   2.809790e-09   2.582846e-13   48
  1.631002e-01   1.758805e-12   0.000000e+00   1.675621e-13   96
  1.642778e-01   1.133824e-12   0.000000e+00   1.136626e-13   48
  1.666081e-01   2.105939e-12   0.000000e+00   4.588216e-13   36
  1.677611e-01   1.612432e-12   3.441276e-09   3.053572e-13   48
  1.689063e-01   1.740712e-12   3.893359e-09   1.598290e-13   120
  1.700437e-01   1.444901e-12   0.000000e+00   1.745055e-13   56
  1.711736e-01   7.742306e-13   1.986821e-09   1.679754e-13   24
  1.722960e-01   1.281541e-12   0.000000e+00   1.388793e-13   96
  1.734112e-01   1.393862e-12   0.000000e+00   1.904843e-13   48
  1.756204e-01   1.454425e-12   0.000000e+00   2.814316e-13   24
  1.767146e-01   1.687157e-12   0.000000e+00   1.460287e-13   102
  1.778021e-01   3.106594e-12   0.000000e+00   4.990895e-13   48
  1.788829e-01   2.735054e-12   0.000000e+00   3.533277e-13   72
  1.799573e-01   1.316607e-12   0.000000e+00   2.160312e-13   48
  1.810253e-01   2.443197e-12   0.000000e+00   4.382722e-13   48
  1.820871e-01   1.726781e-12   4.495664e-09   1.783001e-13   120
  1.841922e-01   4.868998e-13   2.809790e-09   9.956413e-14   24
  1.852358e-01   1.244081e-12   2.649095e-09   9.400249e-14   144
  1.862735e-01   1.233731e-12   3.178914e-09   1.310276e-13   120
  1.873055e-01   2.002085e-12   2.809790e-09   2.421564e-13   48
  1.893526e-01   1.038394e-12   2.809790e-09   1.646888e-13   48
  1.903679e-01   1.283367e-12   2.809790e-09   1.556849e-13   96
  1.923825e-01   8.475840e-13   2.809790e-09   9.525840e-14   24
  1.933819e-01   9.533102e-13   0.000000e+00   2.286203e-13   48
  1.943761e-01   1.092619e-12   3.532127e-09   1.181713e-13   108
  1.953653e-01   8.128614e-13   0.000000e+00   7.839527e-14   72
  1.963495e-01   1.706704e-12   0.000000e+00   4.353989e-13   30
  1.973288e-01   1.040314e-12   0.000000e+00   8.547669e-14   168
  1.983033e-01   1.597571e-12   0.000000e+00   3.056978e-13   48
  2.002380e-01   1.045571e-12   0.000000e+00   1.267039e-13   72
  2.011984e-01   1.780839e-12   0.000000e+00   2.473331e-13   96
  2.021542e-01   9.680171e-13   5.298191e-09   1.016596e-13   72
  2.031055e-01   7.105546e-13   0.000000e+00   7.575665e-14   72
  2.040524e-01   1.266191e-12   2.980232e-09   2.694976e-13   32
  2.049949e-01   7.927226e-13   2.649095e-09   9.762116e-14   72
  2.059331e-01   1.118557e-12   3.746387e-09   1.269957e-13   144
  2.087224e-01   1.254424e-12   6.282881e-09   1.385399e-13   96
  2.096439e-01   4.194679e-13   0.000000e+00   4.143983e-14   96
  2.105614e-01   4.541095e-13   0.000000e+00   5.888238e-14   48
  2.114749e-01   6.681875e-13   0.000000e+00   1.183347e-13   72
  2.123845e-01   6.700938e-13   0.000000e+00   8.569472e-14   120
  2.132902e-01   8.330427e-13   0.000000e+00   9.421104e-14   72
  2.150901e-01   1.217481e-12   0.000000e+00   1.314804e-13   48
  2.159845e-01   5.632526e-13   4.235416e-09   9.270898e-14   78
  2.168752e-01   7.480999e-13   3.178914e-09   1.226884e-13   120
  2.177622e-01   8.845032e-13   3.973643e-09   2.021656e-13   48
  2.195255e-01   8.577846e-13   3.746387e-09   1.059284e-13   144
  2.204018e-01   1.084505e-12   3.746387e-09   1.129288e-13   144
  2.221441e-01   5.330958e-13   0.000000e+00   1.586860e-13   12
  2.230102e-01   7.184256e-13   0.000000e+00   6.933730e-14   144
  2.238729e-01   9.517081e-13   4.866699e-09   1.910563e-13   48
  2.247323e-01   7.074166e-13   3.178914e-09   9.069373e-14   120
  2.255884e-01   4.612459e-13   0.000000e+00   5.879345e-14   48
  2.264413e-01   2.914579e-13   0.000000e+00   3.651441e-14   48
  2.272910e-01   4.750218e-13   0.000000e+00   4.163096e-14   168
  2.289809e-01   2.837027e-13   0.000000e+00   4.420291e-14   48
  2.298212e-01   4.416153e-13   2.809790e-09   8.359527e-14   96
  2.306585e-01   4.510715e-13   2.809790e-09   7.055960e-14   96
  2.314927e-01   4.296130e-13   0.000000e+00   1.058833e-13   72
  2.323239e-01   3.150931e-13   2.809790e-09   4.510888e-14   48
  2.331522e-01   5.093632e-13   0.000000e+00   6.434420e-14   96
  2.339775e-01   1.772044e-13   0.000000e+00   3.140841e-14   48
  2.356194e-01   2.703012e-13   3.178914e-09   2.954687e-14   30
  2.364362e-01   1.022286e-12   2.809790e-09   2.438406e-13   96
  2.372501e-01   5.064825e-13   0.000000e+00   5.169250e-14   192
