# power spectrum of hij
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.070895e-19   0.000000e+00   1.494764e-19   6
  2.776802e-02   2.591900e-19   0.000000e+00   2.336332e-20   12
  3.400874e-02   1.227278e-19   3.725290e-10   1.207495e-20   8
  3.926991e-02   9.780663e-20   0.000000e+00   1.182547e-20   6
  4.390509e-02   7.943560e-20   0.000000e+00   7.461283e-21   24
  4.809562e-02   3.500826e-20   7.024475e-10   5.998822e-21   24
  5.553604e-02   3.464733e-20   0.000000e+00   3.962408e-21   12
  5.890486e-02   1.479622e-20   7.947286e-10   1.198042e-21   30
  6.209118e-02   1.406695e-20   0.000000e+00   1.947821e-21   24
  6.512178e-02   1.653435e-20   1.216675e-09   2.239109e-21   24
  6.801748e-02   9.007041e-21   7.450581e-10   2.280845e-21   8
  7.079483e-02   8.654529e-21   9.934107e-10   1.123108e-21   24
  7.346727e-02   7.883518e-21   0.000000e+00   7.681565e-22   48
  7.853982e-02   6.947555e-21   0.000000e+00   1.186846e-21   6
  8.095699e-02   4.693042e-21   1.404895e-09   4.664673e-22   48
  8.330406e-02   5.068384e-21   0.000000e+00   5.085379e-22   36
  8.558678e-02   3.748409e-21   9.934107e-10   6.553386e-22   24
  8.781018e-02   3.864804e-21   0.000000e+00   5.688221e-22   24
  8.997866e-02   2.715032e-21   0.000000e+00   2.757954e-22   48
  9.209610e-02   3.371013e-21   1.404895e-09   4.484004e-22   24
  9.619124e-02   2.017189e-21   1.404895e-09   2.835789e-22   24
  9.817477e-02   2.608303e-21   0.000000e+00   4.328229e-22   30
  1.001190e-01   1.550239e-21   0.000000e+00   1.284306e-22   72
  1.020262e-01   1.551321e-21   1.490116e-09   1.494146e-22   32
  1.057375e-01   1.598743e-21   0.000000e+00   1.395306e-22   72
  1.075451e-01   1.285942e-21   0.000000e+00   1.271547e-22   48
  1.110721e-01   1.043890e-21   0.000000e+00   2.264157e-22   12
  1.127942e-01   8.999046e-22   0.000000e+00   6.029612e-23   48
  1.144905e-01   9.305486e-22   0.000000e+00   7.544492e-23   48
  1.161620e-01   8.479819e-22   1.404895e-09   7.732590e-23   48
  1.178097e-01   8.131636e-22   1.589457e-09   1.137935e-22   30
  1.194348e-01   7.234040e-22   1.404895e-09   6.702608e-23   24
  1.210380e-01   6.926538e-22   2.961779e-09   4.738190e-23   72
  1.241824e-01   5.277197e-22   0.000000e+00   5.672142e-23   24
  1.257251e-01   5.102096e-22   0.000000e+00   3.359816e-23   96
  1.272490e-01   5.860008e-22   0.000000e+00   4.145052e-23   48
  1.287550e-01   3.975073e-22   2.433349e-09   3.490777e-23   24
  1.302436e-01   5.125623e-22   2.433349e-09   6.562032e-23   24
  1.317153e-01   4.085431e-22   0.000000e+00   2.418525e-23   72
  1.331707e-01   4.997988e-22   0.000000e+00   3.595056e-23   48
  1.360350e-01   2.863792e-22   1.490116e-09   1.141632e-23   8
  1.374447e-01   3.167156e-22   1.766064e-09   3.758068e-23   54
  1.388401e-01   2.628332e-22   0.000000e+00   2.339373e-23   84
  1.402216e-01   2.432694e-22   0.000000e+00   2.637700e-23   48
  1.415897e-01   3.422653e-22   1.986821e-09   3.815092e-23   24
  1.429446e-01   2.506789e-22   1.873193e-09   2.865657e-23   72
  1.442869e-01   2.388876e-22   0.000000e+00   2.449409e-23   96
  1.469345e-01   2.019422e-22   0.000000e+00   1.378068e-23   48
  1.482407e-01   2.427424e-22   0.000000e+00   2.467130e-23   48
  1.495354e-01   1.587480e-22   1.986821e-09   1.826257e-23   24
  1.508189e-01   1.891977e-22   0.000000e+00   1.251740e-23   72
  1.533539e-01   1.794021e-22   1.873193e-09   1.695876e-23   72
  1.546058e-01   1.356499e-22   0.000000e+00   9.097881e-24   96
  1.570796e-01   1.710552e-22   0.000000e+00   5.623163e-23   6
  1.583021e-01   1.409613e-22   0.000000e+00   9.563453e-24   96
  1.595151e-01   1.565336e-22   1.986821e-09   1.051545e-23   96
  1.607190e-01   1.908518e-22   0.000000e+00   1.902941e-23   24
  1.619140e-01   1.526890e-22   2.809790e-09   1.599482e-23   48
  1.631002e-01   1.172651e-22   0.000000e+00   8.023634e-24   96
  1.642778e-01   9.050744e-23   0.000000e+00   6.695432e-24   48
  1.666081e-01   1.330767e-22   0.000000e+00   1.587579e-23   36
  1.677611e-01   1.136901e-22   3.441276e-09   1.076698e-23   48
  1.689063e-01   9.944295e-23   3.893359e-09   6.952682e-24   120
  1.700437e-01   9.192677e-23   0.000000e+00   6.710054e-24   56
  1.711736e-01   1.048687e-22   1.986821e-09   1.485597e-23   24
  1.722960e-01   7.838798e-23   0.000000e+00   6.523263e-24   96
  1.734112e-01   9.604019e-23   0.000000e+00   1.042874e-23   48
  1.756204e-01   9.561808e-23   0.000000e+00   1.318541e-23   24
  1.767146e-01   7.429614e-23   0.000000e+00   5.114883e-24   102
  1.778021e-01   8.591695e-23   0.000000e+00   1.005753e-23   48
  1.788829e-01   7.721291e-23   0.000000e+00   6.841572e-24   72
  1.799573e-01   6.884960e-23   0.000000e+00   7.099031e-24   48
  1.810253e-01   7.939715e-23   0.000000e+00   6.925369e-24   48
  1.820871e-01   7.684161e-23   4.495664e-09   5.996234e-24   120
  1.841922e-01   5.004373e-23   2.809790e-09   7.143905e-24   24
  1.852358e-01   6.198890e-23   2.649095e-09   3.908777e-24   144
  1.862735e-01   6.262881e-23   3.178914e-09   4.235306e-24   120
  1.873055e-01   6.727900e-23   2.809790e-09   6.107621e-24   48
  1.893526e-01   4.532824e-23   2.809790e-09   4.137467e-24   48
  1.903679e-01   5.114722e-23   2.809790e-09   3.547736e-24   96
  1.923825e-01   3.568101e-23   2.809790e-09   4.842576e-24   24
  1.933819e-01   5.051694e-23   0.000000e+00   5.614871e-24   48
  1.943761e-01   3.574374e-23   3.532127e-09   2.538165e-24   108
  1.953653e-01   4.716250e-23   0.000000e+00   3.736242e-24   72
  1.963495e-01   3.060196e-23   0.000000e+00   3.416345e-24   30
  1.973288e-01   4.094570e-23   0.000000e+00   1.929095e-24   168
  1.983033e-01   4.219365e-23   0.000000e+00   5.127039e-24   48
  2.002380e-01   4.433291e-23   0.000000e+00   3.656327e-24   72
  2.011984e-01   4.114816e-23   0.000000e+00   2.804958e-24   96
  2.021542e-01   3.881978e-23   5.298191e-09   2.534341e-24   72
  2.031055e-01   3.430546e-23   0.000000e+00   2.639223e-24   72
  2.040524e-01   4.770902e-23   2.980232e-09   7.016271e-24   32
  2.049949e-01   3.457345e-23   2.649095e-09   2.950900e-24   72
  2.059331e-01   3.365578e-23   3.746387e-09   2.507434e-24   144
  2.087224e-01   3.133970e-23   6.282881e-09   1.985465e-24   96
  2.096439e-01   2.350107e-23   0.000000e+00   1.889727e-24   96
  2.105614e-01   2.501154e-23   0.000000e+00   2.777280e-24   48
  2.114749e-01   2.843519e-23   0.000000e+00   2.500656e-24   72
  2.123845e-01   3.286109e-23   0.000000e+00   2.377179e-24   120
  2.132902e-01   2.940065e-23   0.000000e+00   2.286327e-24   72
  2.150901e-01   3.915833e-23   0.000000e+00   4.217736e-24   48
  2.159845e-01   3.006944e-23   4.235416e-09   2.522474e-24   78
  2.168752e-01   2.784882e-23   3.178914e-09   1.717147e-24   120
  2.177622e-01   2.633104e-23   3.973643e-09   3.150891e-24   48
  2.195255e-01   2.510204e-23   3.746387e-09   1.875136e-24   144
  2.204018e-01   2.526299e-23   3.746387e-09   1.519985e-24   144
  2.221441e-01   2.735969e-23   0.000000e+00   4.435903e-24   12
  2.230102e-01   1.918352e-23   0.000000e+00   1.257849e-24   144
  2.238729e-01   2.894873e-23   4.866699e-09   2.870635e-24   48
  2.247323e-01   2.220891e-23   3.178914e-09   1.570662e-24   120
  2.255884e-01   2.078290e-23   0.000000e+00   1.545522e-24   48
  2.264413e-01   1.233531e-23   0.000000e+00   1.048476e-24   48
  2.272910e-01   2.047424e-23   0.000000e+00   1.418075e-24   168
  2.289809e-01   1.085229e-23   0.000000e+00   1.287544e-24   48
  2.298212e-01   1.888269e-23   2.809790e-09   1.364455e-24   96
  2.306585e-01   1.728502e-23   2.809790e-09   1.321650e-24   96
  2.314927e-01   1.826171e-23   0.000000e+00   1.831646e-24   72
  2.323239e-01   1.093295e-23   2.809790e-09   1.021415e-24   48
  2.331522e-01   2.163196e-23   0.000000e+00   1.516633e-24   96
  2.339775e-01   1.339471e-23   0.000000e+00   1.386822e-24   48
  2.356194e-01   1.559597e-23   3.178914e-09   1.716153e-24   30
  2.364362e-01   1.742651e-23   2.809790e-09   1.342865e-24   96
  2.372501e-01   1.578688e-23   0.000000e+00   8.096692e-25   192
  2.380612e-01   1.796402e-23   3.973643e-09   2.320529e-24   48
  2.380612e-01   9.288151e-24   0.000000e+00   1.064278e-24   8
  2.388695e-01   2.266312e-23   2.809790e-09   4.030091e-24   24
  2.396752e-01   1.547513e-23   0.000000e+00   9.127526e-25   168
  2.404781e-01   1.356259e-23   0.000000e+00   1.024290e-24   120
  2.420760e-01   1.451176e-23   5.923557e-09   1.407944e-24   72
  2.428710e-01   1.291309e-23   3.746387e-09   8.356637e-25   144
  2.436634e-01   1.297642e-23   0.000000e+00   7.242203e-25   96
  2.444532e-01   1.323246e-23   0.000000e+00   8.878109e-25   96
  2.460253e-01   2.183107e-23   4.588368e-09   1.985331e-24   72
  2.468075e-01   1.299383e-23   3.973643e-09   1.215896e-24   96
  2.483647e-01   1.464834e-23   0.000000e+00   1.996431e-24   24
  2.491396e-01   1.189300e-23   0.000000e+00   6.036657e-25   192
  2.499122e-01   1.328048e-23   3.532127e-09   8.621540e-25   108
  2.506823e-01   1.128274e-23   0.000000e+00   1.857580e-24   24
  2.514501e-01   1.387538e-23   0.000000e+00   1.121594e-24   96
  2.522156e-01   9.397334e-24   0.000000e+00   5.921857e-25   96
  2.529787e-01   7.888589e-24   3.178914e-09   5.932278e-25   120
  2.544981e-01   8.608150e-24   0.000000e+00   7.105162e-25   48
  2.552544e-01   1.571381e-23   5.989783e-09   1.216748e-24   78
  2.560085e-01   1.332541e-23   0.000000e+00   1.032073e-24   144
  2.567603e-01   1.305886e-23   0.000000e+00   1.427737e-24   120
  2.575100e-01   7.403197e-24   4.866699e-09   7.927352e-25   24
  2.582575e-01   1.260682e-23   0.000000e+00   9.123615e-25   168
  2.590028e-01   1.178092e-23   0.000000e+00   9.288392e-25   144
  2.604871e-01   1.377772e-23   4.866699e-09   2.243310e-24   24
  2.612261e-01   1.047520e-23   0.000000e+00   1.254680e-24   48
  2.619630e-01   1.306507e-23   2.809790e-09   1.025338e-24   96
  2.626978e-01   1.115052e-23   0.000000e+00   7.606296e-25   120
  2.634306e-01   7.525483e-24   0.000000e+00   5.726627e-25   72
  2.641613e-01   9.643333e-24   4.495664e-09   7.088958e-25   120
  2.648900e-01   1.031578e-23   0.000000e+00   7.597025e-25   144
  2.663415e-01   8.891670e-24   0.000000e+00   9.202107e-25   48
  2.670642e-01   8.242459e-24   5.619580e-09   4.823606e-25   192
  2.677851e-01   9.207750e-24   0.000000e+00   6.587626e-25   144
  2.685040e-01   8.893553e-24   0.000000e+00   1.252870e-24   48
  2.699360e-01   8.495685e-24   0.000000e+00   4.376610e-25   192
  2.706492e-01   5.919069e-24   0.000000e+00   4.823553e-25   48
  2.720699e-01   2.980154e-24   2.980232e-09   5.976391e-25   8
  2.727775e-01   7.593351e-24   3.973643e-09   8.587877e-25   48
  2.734833e-01   7.917530e-24   8.991328e-09   4.116289e-25   240
  2.741872e-01   9.776635e-24   0.000000e+00   9.882787e-25   96
  2.748894e-01   1.039166e-23   3.532127e-09   9.298481e-25   54
  2.755897e-01   9.409534e-24   0.000000e+00   8.793721e-25   120
  2.762883e-01   9.233679e-24   3.178914e-09   6.793796e-25   120
  2.776802e-01   6.364821e-24   0.000000e+00   6.875720e-25   84
  2.783735e-01   8.839339e-24   0.000000e+00   5.734811e-25   144
  2.790651e-01   7.074621e-24   3.746387e-09   5.064532e-25   72
  2.797550e-01   6.544075e-24   0.000000e+00   5.698415e-25   96
  2.804432e-01   8.684613e-24   0.000000e+00   8.018675e-25   48
  2.811298e-01   9.593021e-24   0.000000e+00   1.064081e-24   96
  2.818146e-01   7.076971e-24   4.495664e-09   3.930401e-25   240
  2.831793e-01   5.829109e-24   3.973643e-09   8.987351e-25   24
  2.838592e-01   8.019117e-24   0.000000e+00   4.222691e-25   240
  2.845375e-01   5.976940e-24   5.619580e-09   4.349216e-25   96
  2.852142e-01   3.515445e-24   0.000000e+00   2.881525e-25   72
  2.858892e-01   7.619211e-24   3.746387e-09   6.794448e-25   72
