# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.473759e-10   0.000000e+00   5.374593e-11   6
  2.776802e-02   2.171051e-10   0.000000e+00   4.791544e-11   12
  3.400874e-02   1.108052e-10   3.725290e-10   3.137301e-11   8
  3.926991e-02   9.670259e-11   0.000000e+00   2.783310e-11   6
  4.390509e-02   6.982496e-11   0.000000e+00   9.186491e-12   24
  4.809562e-02   6.205917e-11   7.024475e-10   1.219527e-11   24
  5.553604e-02   1.537598e-11   0.000000e+00   3.832758e-12   12
  5.890486e-02   4.460977e-11   7.947286e-10   5.721458e-12   30
  6.209118e-02   2.791686e-11   0.000000e+00   4.972982e-12   24
  6.512178e-02   3.115167e-11   1.216675e-09   6.524722e-12   24
  6.801748e-02   5.689655e-11   7.450581e-10   2.113550e-11   8
  7.079483e-02   2.101317e-11   9.934107e-10   4.077492e-12   24
  7.346727e-02   2.175816e-11   0.000000e+00   2.567880e-12   48
  7.853982e-02   1.572579e-11   0.000000e+00   1.738941e-12   6
  8.095699e-02   2.462819e-11   1.404895e-09   2.799055e-12   48
  8.330406e-02   2.351464e-11   0.000000e+00   3.486898e-12   36
  8.558678e-02   1.096074e-11   9.934107e-10   2.522033e-12   24
  8.781018e-02   1.559071e-11   0.000000e+00   2.194583e-12   24
  8.997866e-02   1.302272e-11   0.000000e+00   1.620035e-12   48
  9.209610e-02   2.182189e-11   1.404895e-09   4.044444e-12   24
  9.619124e-02   1.248613e-11   1.404895e-09   2.529063e-12   24
  9.817477e-02   1.405449e-11   0.000000e+00   2.347645e-12   30
  1.001190e-01   1.382927e-11   0.000000e+00   1.363162e-12   72
  1.020262e-01   1.419023e-11   1.490116e-09   2.035287e-12   32
  1.057375e-01   9.004489e-12   0.000000e+00   1.480816e-12   72
  1.075451e-01   1.008534e-11   0.000000e+00   1.229335e-12   48
  1.110721e-01   3.975420e-12   0.000000e+00   8.295820e-13   12
  1.127942e-01   1.035871e-11   0.000000e+00   1.368200e-12   48
  1.144905e-01   9.353254e-12   0.000000e+00   1.352152e-12   48
  1.161620e-01   6.311009e-12   1.404895e-09   9.213491e-13   48
  1.178097e-01   6.739377e-12   1.589457e-09   9.077579e-13   30
  1.194348e-01   8.316402e-12   1.404895e-09   1.307709e-12   24
  1.210380e-01   7.344237e-12   2.961779e-09   7.315869e-13   72
  1.241824e-01   6.538487e-12   0.000000e+00   2.340111e-12   24
  1.257251e-01   9.153830e-12   0.000000e+00   8.516632e-13   96
  1.272490e-01   4.415130e-12   0.000000e+00   8.005684e-13   48
  1.287550e-01   5.586148e-12   2.433349e-09   9.521623e-13   24
  1.302436e-01   1.158761e-11   2.433349e-09   2.234580e-12   24
  1.317153e-01   6.568015e-12   0.000000e+00   8.881365e-13   72
  1.331707e-01   7.437110e-12   0.000000e+00   1.053055e-12   48
  1.360350e-01   8.319816e-12   1.490116e-09   2.328033e-12   8
  1.374447e-01   5.549206e-12   1.766064e-09   5.416054e-13   54
  1.388401e-01   5.351226e-12   0.000000e+00   6.020567e-13   84
  1.402216e-01   4.700671e-12   0.000000e+00   5.675427e-13   48
  1.415897e-01   4.737408e-12   1.986821e-09   1.348688e-12   24
  1.429446e-01   5.217303e-12   1.873193e-09   5.558005e-13   72
  1.442869e-01   5.092457e-12   0.000000e+00   4.408418e-13   96
  1.469345e-01   4.961093e-12   0.000000e+00   5.553152e-13   48
  1.482407e-01   4.705651e-12   0.000000e+00   5.533619e-13   48
  1.495354e-01   5.535906e-12   1.986821e-09   1.323202e-12   24
  1.508189e-01   3.701094e-12   0.000000e+00   4.857440e-13   72
  1.533539e-01   3.934627e-12   1.873193e-09   5.309864e-13   72
  1.546058e-01   2.819046e-12   0.000000e+00   2.658121e-13   96
  1.570796e-01   1.022355e-12   0.000000e+00   5.564965e-13   6
  1.583021e-01   2.924159e-12   0.000000e+00   3.357839e-13   96
  1.595151e-01   3.426322e-12   1.986821e-09   2.670435e-13   96
  1.607190e-01   2.402980e-12   0.000000e+00   1.837972e-13   24
  1.619140e-01   3.166484e-12   2.809790e-09   4.308014e-13   48
  1.631002e-01   2.644193e-12   0.000000e+00   2.502940e-13   96
  1.642778e-01   2.359379e-12   0.000000e+00   2.686689e-13   48
  1.666081e-01   2.781296e-12   0.000000e+00   5.532569e-13   36
  1.677611e-01   2.326625e-12   3.441276e-09   4.049689e-13   48
  1.689063e-01   2.721570e-12   3.893359e-09   2.156307e-13   120
  1.700437e-01   2.438135e-12   0.000000e+00   3.044310e-13   56
  1.711736e-01   1.682299e-12   1.986821e-09   3.759634e-13   24
  1.722960e-01   2.363829e-12   0.000000e+00   2.458801e-13   96
  1.734112e-01   2.490757e-12   0.000000e+00   3.438857e-13   48
  1.756204e-01   2.315827e-12   0.000000e+00   4.636089e-13   24
  1.767146e-01   2.910033e-12   0.000000e+00   2.336585e-13   102
  1.778021e-01   4.090520e-12   0.000000e+00   6.561536e-13   48
  1.788829e-01   4.185985e-12   0.000000e+00   4.468739e-13   72
  1.799573e-01   2.473893e-12   0.000000e+00   3.815160e-13   48
  1.810253e-01   3.224721e-12   0.000000e+00   5.269143e-13   48
  1.820871e-01   2.592339e-12   4.495664e-09   2.470637e-13   120
  1.841922e-01   1.322466e-12   2.809790e-09   2.534865e-13   24
  1.852358e-01   2.349941e-12   2.649095e-09   1.746984e-13   144
  1.862735e-01   2.573666e-12   3.178914e-09   2.443494e-13   120
  1.873055e-01   2.723547e-12   2.809790e-09   3.274767e-13   48
  1.893526e-01   2.150008e-12   2.809790e-09   3.211607e-13   48
  1.903679e-01   2.276989e-12   2.809790e-09   2.352569e-13   96
  1.923825e-01   1.646285e-12   2.809790e-09   2.700188e-13   24
  1.933819e-01   1.829433e-12   0.000000e+00   3.122291e-13   48
  1.943761e-01   2.121928e-12   3.532127e-09   2.312044e-13   108
  1.953653e-01   1.574657e-12   0.000000e+00   1.437863e-13   72
  1.963495e-01   2.315733e-12   0.000000e+00   3.859326e-13   30
  1.973288e-01   1.855643e-12   0.000000e+00   1.467572e-13   168
  1.983033e-01   2.230588e-12   0.000000e+00   3.469339e-13   48
  2.002380e-01   1.811806e-12   0.000000e+00   1.864206e-13   72
  2.011984e-01   2.418133e-12   0.000000e+00   2.960256e-13   96
  2.021542e-01   1.847665e-12   5.298191e-09   2.231583e-13   72
  2.031055e-01   1.414713e-12   0.000000e+00   1.281813e-13   72
  2.040524e-01   2.139660e-12   2.980232e-09   4.485877e-13   32
  2.049949e-01   1.366523e-12   2.649095e-09   1.509562e-13   72
  2.059331e-01   1.999492e-12   3.746387e-09   1.831635e-13   144
  2.087224e-01   2.114266e-12   6.282881e-09   2.215169e-13   96
  2.096439e-01   1.128726e-12   0.000000e+00   1.066026e-13   96
  2.105614e-01   1.156242e-12   0.000000e+00   1.546586e-13   48
  2.114749e-01   1.410668e-12   0.000000e+00   1.908949e-13   72
  2.123845e-01   1.261046e-12   0.000000e+00   1.428056e-13   120
  2.132902e-01   1.690870e-12   0.000000e+00   1.994121e-13   72
  2.150901e-01   2.158750e-12   0.000000e+00   2.671651e-13   48
  2.159845e-01   1.265807e-12   4.235416e-09   1.656686e-13   78
  2.168752e-01   1.352768e-12   3.178914e-09   1.623901e-13   120
  2.177622e-01   1.053122e-12   3.973643e-09   2.109105e-13   48
  2.195255e-01   1.404128e-12   3.746387e-09   1.358826e-13   144
  2.204018e-01   1.554751e-12   3.746387e-09   1.272815e-13   144
  2.221441e-01   1.470643e-12   0.000000e+00   4.634585e-13   12
  2.230102e-01   1.477778e-12   0.000000e+00   1.137621e-13   144
  2.238729e-01   1.583626e-12   4.866699e-09   2.973254e-13   48
  2.247323e-01   1.339567e-12   3.178914e-09   1.650992e-13   120
  2.255884e-01   1.178814e-12   0.000000e+00   1.541633e-13   48
  2.264413e-01   9.110617e-13   0.000000e+00   1.307583e-13   48
  2.272910e-01   9.670411e-13   0.000000e+00   6.577468e-14   168
  2.289809e-01   7.596106e-13   0.000000e+00   1.232859e-13   48
  2.298212e-01   9.812858e-13   2.809790e-09   1.381347e-13   96
  2.306585e-01   8.911637e-13   2.809790e-09   1.228551e-13   96
  2.314927e-01   9.824615e-13   0.000000e+00   2.310324e-13   72
  2.323239e-01   9.306425e-13   2.809790e-09   1.271270e-13   48
  2.331522e-01   9.923757e-13   0.000000e+00   1.151423e-13   96
  2.339775e-01   5.871918e-13   0.000000e+00   1.055007e-13   48
  2.356194e-01   7.293500e-13   3.178914e-09   7.615581e-14   30
  2.364362e-01   1.592016e-12   2.809790e-09   2.964475e-13   96
  2.372501e-01   8.987745e-13   0.000000e+00   8.088391e-14   192
  2.380612e-01   1.237025e-12   3.973643e-09   1.347479e-13   48
