# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.607799e-11   0.000000e+00   3.116647e-11   6
  2.776802e-02   1.245511e-10   0.000000e+00   2.637049e-11   12
  3.400874e-02   5.968313e-11   3.725290e-10   1.634644e-11   8
  3.926991e-02   5.294712e-11   0.000000e+00   1.245696e-11   6
  4.390509e-02   4.264516e-11   0.000000e+00   5.132052e-12   24
  4.809562e-02   3.200172e-11   7.024475e-10   5.993861e-12   24
  5.553604e-02   9.113454e-12   0.000000e+00   1.983403e-12   12
  5.890486e-02   2.359500e-11   7.947286e-10   2.640339e-12   30
  6.209118e-02   1.405408e-11   0.000000e+00   2.606391e-12   24
  6.512178e-02   1.714876e-11   1.216675e-09   3.104651e-12   24
  6.801748e-02   2.897690e-11   7.450581e-10   9.375581e-12   8
  7.079483e-02   1.337355e-11   9.934107e-10   2.388271e-12   24
  7.346727e-02   9.444689e-12   0.000000e+00   1.003882e-12   48
  7.853982e-02   9.004556e-12   0.000000e+00   6.066468e-13   6
  8.095699e-02   1.258077e-11   1.404895e-09   1.428121e-12   48
  8.330406e-02   9.962159e-12   0.000000e+00   1.349030e-12   36
  8.558678e-02   4.469957e-12   9.934107e-10   1.185793e-12   24
  8.781018e-02   5.175729e-12   0.000000e+00   9.409010e-13   24
  8.997866e-02   6.491215e-12   0.000000e+00   9.398808e-13   48
  9.209610e-02   7.705918e-12   1.404895e-09   1.352808e-12   24
  9.619124e-02   4.611698e-12   1.404895e-09   8.823653e-13   24
  9.817477e-02   5.804962e-12   0.000000e+00   1.093456e-12   30
  1.001190e-01   6.045925e-12   0.000000e+00   6.225245e-13   72
  1.020262e-01   6.327181e-12   1.490116e-09   1.034110e-12   32
  1.057375e-01   4.424615e-12   0.000000e+00   5.893208e-13   72
  1.075451e-01   4.101321e-12   0.000000e+00   5.347597e-13   48
  1.110721e-01   2.484094e-12   0.000000e+00   4.276666e-13   12
  1.127942e-01   4.176625e-12   0.000000e+00   5.302829e-13   48
  1.144905e-01   3.515745e-12   0.000000e+00   4.793271e-13   48
  1.161620e-01   2.578584e-12   1.404895e-09   3.520431e-13   48
  1.178097e-01   2.591044e-12   1.589457e-09   6.194104e-13   30
  1.194348e-01   3.502532e-12   1.404895e-09   5.216444e-13   24
  1.210380e-01   3.368762e-12   2.961779e-09   2.849531e-13   72
  1.241824e-01   3.370653e-12   0.000000e+00   1.244818e-12   24
  1.257251e-01   3.308513e-12   0.000000e+00   2.977283e-13   96
  1.272490e-01   1.899691e-12   0.000000e+00   2.577494e-13   48
  1.287550e-01   1.877049e-12   2.433349e-09   3.189140e-13   24
  1.302436e-01   4.224219e-12   2.433349e-09   6.454845e-13   24
  1.317153e-01   2.164967e-12   0.000000e+00   2.570405e-13   72
  1.331707e-01   2.485800e-12   0.000000e+00   3.086444e-13   48
  1.360350e-01   2.001598e-12   1.490116e-09   8.789910e-13   8
  1.374447e-01   2.333256e-12   1.766064e-09   2.186128e-13   54
  1.388401e-01   2.700163e-12   0.000000e+00   3.711248e-13   84
  1.402216e-01   1.873251e-12   0.000000e+00   2.391998e-13   48
  1.415897e-01   1.634146e-12   1.986821e-09   4.327037e-13   24
  1.429446e-01   1.743592e-12   1.873193e-09   2.289410e-13   72
  1.442869e-01   1.604574e-12   0.000000e+00   1.383072e-13   96
  1.469345e-01   1.142620e-12   0.000000e+00   1.417869e-13   48
  1.482407e-01   1.214868e-12   0.000000e+00   1.871810e-13   48
  1.495354e-01   1.193552e-12   1.986821e-09   2.308236e-13   24
  1.508189e-01   1.095370e-12   0.000000e+00   1.181068e-13   72
  1.533539e-01   1.075561e-12   1.873193e-09   1.195411e-13   72
  1.546058e-01   1.202130e-12   0.000000e+00   1.048466e-13   96
  1.570796e-01   8.520814e-13   0.000000e+00   3.718606e-13   6
  1.583021e-01   1.368444e-12   0.000000e+00   1.637228e-13   96
  1.595151e-01   1.193708e-12   1.986821e-09   1.367612e-13   96
  1.607190e-01   1.502873e-12   0.000000e+00   2.650831e-13   24
  1.619140e-01   1.036157e-12   2.809790e-09   1.501628e-13   48
  1.631002e-01   9.529709e-13   0.000000e+00   9.429202e-14   96
  1.642778e-01   5.134730e-13   0.000000e+00   7.298086e-14   48
  1.666081e-01   1.434372e-12   0.000000e+00   2.699832e-13   36
  1.677611e-01   8.497923e-13   3.441276e-09   1.772887e-13   48
  1.689063e-01   8.370383e-13   3.893359e-09   8.301840e-14   120
  1.700437e-01   9.715669e-13   0.000000e+00   1.359799e-13   56
  1.711736e-01   4.232179e-13   1.986821e-09   1.071492e-13   24
  1.722960e-01   6.260578e-13   0.000000e+00   6.003809e-14   96
  1.734112e-01   7.340225e-13   0.000000e+00   8.840471e-14   48
  1.756204e-01   7.618255e-13   0.000000e+00   1.372606e-13   24
  1.767146e-01   8.532202e-13   0.000000e+00   8.848074e-14   102
  1.778021e-01   1.293837e-12   0.000000e+00   1.969323e-13   48
  1.788829e-01   1.008491e-12   0.000000e+00   1.304503e-13   72
  1.799573e-01   6.215922e-13   0.000000e+00   9.065724e-14   48
  1.810253e-01   1.157979e-12   0.000000e+00   2.041480e-13   48
  1.820871e-01   7.576052e-13   4.495664e-09   8.232444e-14   120
  1.841922e-01   2.865236e-13   2.809790e-09   6.785108e-14   24
  1.852358e-01   5.981262e-13   2.649095e-09   4.678200e-14   144
  1.862735e-01   4.880048e-13   3.178914e-09   4.523033e-14   120
  1.873055e-01   9.896719e-13   2.809790e-09   1.396460e-13   48
  1.893526e-01   4.164516e-13   2.809790e-09   7.305686e-14   48
  1.903679e-01   4.864895e-13   2.809790e-09   5.899305e-14   96
  1.923825e-01   4.926355e-13   2.809790e-09   7.374313e-14   24
  1.933819e-01   5.055833e-13   0.000000e+00   1.048367e-13   48
  1.943761e-01   4.712417e-13   3.532127e-09   4.460717e-14   108
  1.953653e-01   3.595799e-13   0.000000e+00   3.602157e-14   72
  1.963495e-01   7.239804e-13   0.000000e+00   1.502031e-13   30
  1.973288e-01   5.912195e-13   0.000000e+00   4.631194e-14   168
  1.983033e-01   8.873179e-13   0.000000e+00   1.744982e-13   48
  2.002380e-01   5.582132e-13   0.000000e+00   7.433799e-14   72
  2.011984e-01   9.070101e-13   0.000000e+00   9.460340e-14   96
