# power spectrum of B
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.348978e-17   0.000000e+00   7.047825e-18   6
  2.776802e-02   4.917198e-17   0.000000e+00   6.215984e-18   12
  3.400874e-02   3.378637e-17   3.725290e-10   1.267013e-17   8
  3.926991e-02   3.955926e-17   0.000000e+00   7.974949e-18   6
  4.390509e-02   6.096873e-17   0.000000e+00   8.436929e-18   24
  4.809562e-02   3.118878e-17   7.024475e-10   3.411772e-18   24
  5.553604e-02   2.733532e-17   0.000000e+00   3.638243e-18   12
  5.890486e-02   3.656600e-17   7.947286e-10   5.815934e-18   30
  6.209118e-02   3.596763e-17   0.000000e+00   3.833428e-18   24
  6.512178e-02   5.450441e-17   1.216675e-09   8.105529e-18   24
  6.801748e-02   3.368881e-17   7.450581e-10   8.026004e-18   8
  7.079483e-02   2.205427e-17   9.934107e-10   2.858243e-18   24
  7.346727e-02   3.160657e-17   0.000000e+00   2.908172e-18   48
  7.853982e-02   2.630659e-17   0.000000e+00   1.500056e-18   6
  8.095699e-02   2.737600e-17   1.404895e-09   2.803545e-18   48
  8.330406e-02   3.213392e-17   0.000000e+00   2.708680e-18   36
  8.558678e-02   1.456869e-17   9.934107e-10   2.143641e-18   24
  8.781018e-02   2.331751e-17   0.000000e+00   3.406358e-18   24
  8.997866e-02   1.938357e-17   0.000000e+00   1.527668e-18   48
  9.209610e-02   1.589024e-17   1.404895e-09   1.744746e-18   24
  9.619124e-02   1.452549e-17   1.404895e-09   2.153895e-18   24
  9.817477e-02   1.769628e-17   0.000000e+00   1.822196e-18   30
  1.001190e-01   1.780233e-17   0.000000e+00   1.496206e-18   72
  1.020262e-01   2.677998e-17   1.490116e-09   3.391970e-18   32
  1.057375e-01   1.766469e-17   0.000000e+00   1.357086e-18   72
  1.075451e-01   1.700148e-17   0.000000e+00   1.772431e-18   48
  1.110721e-01   4.986554e-18   0.000000e+00   8.071474e-19   12
  1.127942e-01   1.326881e-17   0.000000e+00   1.167487e-18   48
  1.144905e-01   1.068881e-17   0.000000e+00   1.110848e-18   48
  1.161620e-01   9.657034e-18   1.404895e-09   1.006934e-18   48
  1.178097e-01   1.072241e-17   1.589457e-09   1.212719e-18   30
  1.194348e-01   1.463279e-17   1.404895e-09   2.727401e-18   24
  1.210380e-01   1.198287e-17   2.961779e-09   9.458975e-19   72
  1.241824e-01   1.838756e-17   0.000000e+00   3.041827e-18   24
  1.257251e-01   1.236234e-17   0.000000e+00   8.532384e-19   96
  1.272490e-01   9.061694e-18   0.000000e+00   8.151582e-19   48
  1.287550e-01   9.196077e-18   2.433349e-09   6.693759e-19   24
  1.302436e-01   1.282203e-17   2.433349e-09   1.797707e-18   24
  1.317153e-01   1.085376e-17   0.000000e+00   1.073749e-18   72
  1.331707e-01   1.004122e-17   0.000000e+00   1.015887e-18   48
  1.360350e-01   6.443309e-18   1.490116e-09   6.059067e-19   8
  1.374447e-01   7.911383e-18   1.766064e-09   1.037801e-18   54
  1.388401e-01   7.530694e-18   0.000000e+00   5.960353e-19   84
  1.402216e-01   7.554184e-18   0.000000e+00   5.900124e-19   48
  1.415897e-01   1.218583e-17   1.986821e-09   1.293599e-18   24
  1.429446e-01   9.166783e-18   1.873193e-09   6.496217e-19   72
  1.442869e-01   7.525890e-18   0.000000e+00   5.456618e-19   96
  1.469345e-01   4.390536e-18   0.000000e+00   3.838060e-19   48
  1.482407e-01   7.520117e-18   0.000000e+00   7.468103e-19   48
  1.495354e-01   8.752214e-18   1.986821e-09   1.028911e-18   24
  1.508189e-01   7.285632e-18   0.000000e+00   5.203589e-19   72
  1.533539e-01   5.406957e-18   1.873193e-09   4.883250e-19   72
  1.546058e-01   5.625719e-18   0.000000e+00   4.077612e-19   96
  1.570796e-01   8.144300e-18   0.000000e+00   1.572735e-18   6
  1.583021e-01   6.164744e-18   0.000000e+00   4.908568e-19   96
  1.595151e-01   4.994484e-18   1.986821e-09   3.653538e-19   96
  1.607190e-01   5.474706e-18   0.000000e+00   8.346991e-19   24
  1.619140e-01   5.791561e-18   2.809790e-09   5.837084e-19   48
