# power spectrum of chi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.972358e-20   0.000000e+00   9.701321e-21   6
  2.776802e-02   4.193488e-20   0.000000e+00   1.080904e-20   12
  3.400874e-02   2.964003e-20   3.725290e-10   5.803407e-21   8
  3.926991e-02   1.573254e-20   0.000000e+00   5.025099e-21   6
  4.390509e-02   2.389178e-20   0.000000e+00   5.420819e-21   24
  4.809562e-02   2.019102e-20   7.024475e-10   2.685894e-21   24
  5.553604e-02   9.353053e-21   0.000000e+00   3.274737e-21   12
  5.890486e-02   1.033584e-20   7.947286e-10   1.276035e-21   30
  6.209118e-02   7.498833e-21   0.000000e+00   9.675845e-22   24
  6.512178e-02   4.880963e-21   1.216675e-09   1.233701e-21   24
  6.801748e-02   8.525306e-21   7.450581e-10   6.368970e-22   8
  7.079483e-02   4.241057e-21   9.934107e-10   6.611803e-22   24
  7.346727e-02   3.748240e-21   0.000000e+00   3.426606e-22   48
  7.853982e-02   3.530571e-21   0.000000e+00   1.441290e-22   6
  8.095699e-02   3.268611e-21   1.404895e-09   2.711589e-22   48
  8.330406e-02   1.836654e-21   0.000000e+00   3.104560e-22   36
  8.558678e-02   2.316977e-21   9.934107e-10   5.315581e-22   24
  8.781018e-02   2.302168e-21   0.000000e+00   3.240435e-22   24
  8.997866e-02   1.757871e-21   0.000000e+00   2.026857e-22   48
  9.209610e-02   2.697550e-21   1.404895e-09   3.873876e-22   24
  9.619124e-02   1.331003e-21   1.404895e-09   2.713891e-22   24
  9.817477e-02   1.083802e-21   0.000000e+00   2.470030e-22   30
  1.001190e-01   1.541476e-21   0.000000e+00   9.776013e-23   72
  1.020262e-01   7.348179e-22   1.490116e-09   1.119845e-22   32
  1.057375e-01   1.236984e-21   0.000000e+00   1.326347e-22   72
  1.075451e-01   8.499815e-22   0.000000e+00   1.044227e-22   48
  1.110721e-01   5.513085e-22   0.000000e+00   1.609967e-22   12
  1.127942e-01   7.250443e-22   0.000000e+00   1.161146e-22   48
  1.144905e-01   7.864264e-22   0.000000e+00   1.139528e-22   48
  1.161620e-01   3.527705e-22   1.404895e-09   4.283978e-23   48
  1.178097e-01   9.163315e-22   1.589457e-09   1.348700e-22   30
  1.194348e-01   6.132792e-22   1.404895e-09   1.542377e-22   24
  1.210380e-01   5.526832e-22   2.961779e-09   5.117828e-23   72
  1.241824e-01   5.028173e-22   0.000000e+00   6.543278e-23   24
  1.257251e-01   4.541253e-22   0.000000e+00   3.576976e-23   96
  1.272490e-01   4.552359e-22   0.000000e+00   4.716956e-23   48
  1.287550e-01   7.110553e-22   2.433349e-09   1.010533e-22   24
  1.302436e-01   5.251353e-22   2.433349e-09   5.721235e-23   24
  1.317153e-01   4.376458e-22   0.000000e+00   4.309481e-23   72
  1.331707e-01   4.832674e-22   0.000000e+00   7.119568e-23   48
  1.360350e-01   2.333277e-22   1.490116e-09   7.379676e-23   8
  1.374447e-01   3.403245e-22   1.766064e-09   3.957520e-23   54
  1.388401e-01   3.916964e-22   0.000000e+00   3.631466e-23   84
  1.402216e-01   2.927082e-22   0.000000e+00   3.356574e-23   48
  1.415897e-01   3.007333e-22   1.986821e-09   5.811112e-23   24
  1.429446e-01   2.934116e-22   1.873193e-09   2.769488e-23   72
  1.442869e-01   2.977396e-22   0.000000e+00   2.574159e-23   96
  1.469345e-01   2.795506e-22   0.000000e+00   3.612700e-23   48
  1.482407e-01   1.704779e-22   0.000000e+00   2.299481e-23   48
  1.495354e-01   3.314158e-22   1.986821e-09   6.346572e-23   24
  1.508189e-01   1.970663e-22   0.000000e+00   2.626251e-23   72
  1.533539e-01   2.559466e-22   1.873193e-09   2.533368e-23   72
  1.546058e-01   2.131024e-22   0.000000e+00   1.956845e-23   96
  1.570796e-01   3.946946e-22   0.000000e+00   1.335476e-22   6
  1.583021e-01   1.835864e-22   0.000000e+00   1.774926e-23   96
  1.595151e-01   1.961227e-22   1.986821e-09   2.042782e-23   96
  1.607190e-01   2.496070e-22   0.000000e+00   3.051497e-23   24
  1.619140e-01   1.749931e-22   2.809790e-09   2.492929e-23   48
  1.631002e-01   2.177480e-22   0.000000e+00   1.841627e-23   96
  1.642778e-01   1.333082e-22   0.000000e+00   1.255567e-23   48
  1.666081e-01   2.127816e-22   0.000000e+00   2.704173e-23   36
  1.677611e-01   1.350912e-22   3.441276e-09   2.081840e-23   48
  1.689063e-01   1.308443e-22   3.893359e-09   1.047122e-23   120
  1.700437e-01   1.186141e-22   0.000000e+00   1.768508e-23   56
  1.711736e-01   1.012067e-22   1.986821e-09   2.180422e-23   24
  1.722960e-01   1.259450e-22   0.000000e+00   1.211144e-23   96
  1.734112e-01   9.556494e-23   0.000000e+00   9.933784e-24   48
  1.756204e-01   1.057008e-22   0.000000e+00   1.313844e-23   24
  1.767146e-01   1.072167e-22   0.000000e+00   9.350777e-24   102
  1.778021e-01   1.009228e-22   0.000000e+00   1.263322e-23   48
